index,label
13,6
12,6
14,6
13,6
14,6
11,6
13,6
13,6
13,6
14,6
12,6
11,6
12,6
12,6
14,6
13,6
12,6
13,6
15,6
13,6
13,6
13,6
10,6
12,6
11,6
12,6
11,6
12,6
11,6
11,6
12,6
12,6
13,6
13,6
12,6
11,6
11,6
15,6
13,6
12,6
13,6
12,6
12,6
12,6
13,6
13,6
13,6
14,6
12,6
12,6
11,6
14,6
16,6
12,6
14,6
13,6
13,6
10,6
13,6
12,6
12,6
14,6
11,6
13,6
11,6
13,6
11,6
13,6
11,6
14,6
14,6
13,6
12,6
12,6
11,6
11,6
15,6
12,6
10,6
13,6
11,6
11,6
11,6
13,6
13,6
11,6
11,6
12,6
11,6
13,6
13,6
12,6
11,6
12,6
12,6
16,6
11,6
13,6
10,6
13,6
14,6
11,6
12,6
13,6
12,6
13,6
13,6
12,6
16,6
10,6
10,6
13,6
12,6
12,6
12,6
10,6
14,6
14,6
14,6
12,6
11,6
9,6
13,6
10,6
12,6
14,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
12,6
11,6
10,6
12,6
15,6
11,6
15,6
10,6
12,6
13,6
10,6
12,6
11,6
10,6
13,6
11,6
13,6
12,6
11,6
11,6
12,6
12,6
13,6
12,6
13,6
12,6
11,6
13,6
12,6
11,6
12,6
10,6
13,6
12,6
9,6
10,6
9,6
11,6
9,6
13,6
11,6
13,6
13,6
13,6
12,6
13,6
13,6
12,6
13,6
13,6
12,6
12,6
10,6
11,6
14,6
13,6
11,6
12,6
13,6
12,6
10,6
13,6
13,6
12,6
12,6
14,6
12,6
11,6
12,6
12,6
14,6
11,6
11,6
13,6
12,6
12,6
10,6
11,6
11,6
11,6
12,6
13,6
10,6
12,6
13,6
13,6
13,6
12,6
13,6
11,6
12,6
11,6
12,6
11,6
13,6
12,6
13,6
12,6
15,6
14,6
11,6
11,6
10,6
13,6
11,6
14,6
13,6
12,6
12,6
11,6
12,6
12,6
10,6
11,6
9,6
12,6
12,6
9,6
12,6
11,6
13,6
15,6
14,6
13,6
14,6
11,6
11,6
11,6
10,6
11,6
10,6
13,6
11,6
11,6
12,6
12,6
13,6
14,6
11,6
10,6
9,6
14,6
10,6
12,6
12,6
10,6
12,6
11,6
14,6
13,6
11,6
13,6
11,6
12,6
12,6
13,6
12,6
14,6
11,6
12,6
11,6
12,6
12,6
10,6
10,6
13,6
12,6
15,6
13,6
9,6
11,6
12,6
12,6
12,6
13,6
12,6
10,6
12,6
11,6
12,6
13,6
11,6
10,6
12,6
11,6
12,6
12,6
12,6
12,6
10,6
12,6
12,6
15,6
13,6
12,6
12,6
11,6
14,6
18,6
12,6
12,6
11,6
10,6
11,6
13,6
13,6
11,6
12,6
11,6
13,6
12,6
12,6
10,6
11,6
13,6
11,6
12,6
13,6
13,6
12,6
12,6
10,6
11,6
11,6
14,6
10,6
10,6
11,6
10,6
13,6
11,6
14,6
12,6
11,6
12,6
12,6
11,6
11,6
13,6
11,6
11,6
14,6
11,6
10,6
12,6
11,6
11,6
11,6
12,6
11,6
11,6
11,6
13,6
10,6
11,6
10,6
9,6
10,6
10,6
12,6
12,6
9,6
10,6
12,6
12,6
13,6
13,6
13,6
13,6
11,6
13,6
13,6
13,6
13,6
14,6
13,6
13,6
13,6
14,6
11,6
13,6
12,6
11,6
14,6
13,6
14,6
12,6
12,6
10,6
13,6
11,6
11,6
12,6
12,6
12,6
11,6
12,6
13,6
12,6
10,6
11,6
12,6
12,6
11,6
12,6
12,6
14,6
14,6
13,6
13,6
11,6
12,6
11,6
13,6
12,6
13,6
14,6
12,6
11,6
12,6
12,6
12,6
12,6
13,6
11,6
12,6
