index,label
13,5
13,5
12,5
11,5
12,5
11,5
11,5
11,5
11,5
10,5
13,5
13,5
13,5
13,5
13,5
12,5
13,5
11,5
11,5
12,5
13,5
11,5
13,5
11,5
12,5
13,5
12,5
13,5
14,5
11,5
13,5
12,5
15,5
14,5
11,5
13,5
14,5
12,5
12,5
13,5
11,5
13,5
11,5
13,5
12,5
11,5
14,5
13,5
13,5
12,5
11,5
11,5
13,5
12,5
13,5
13,5
13,5
13,5
12,5
12,5
13,5
12,5
10,5
11,5
13,5
13,5
11,5
12,5
12,5
12,5
12,5
11,5
15,5
13,5
11,5
15,5
13,5
11,5
11,5
12,5
11,5
14,5
11,5
12,5
13,5
12,5
13,5
10,5
11,5
12,5
11,5
11,5
13,5
13,5
13,5
12,5
13,5
12,5
13,5
13,5
14,5
11,5
10,5
12,5
13,5
13,5
12,5
12,5
11,5
12,5
10,5
11,5
13,5
11,5
13,5
12,5
12,5
11,5
12,5
12,5
13,5
14,5
13,5
14,5
13,5
10,5
11,5
12,5
10,5
11,5
12,5
12,5
14,5
12,5
13,5
12,5
13,5
13,5
14,5
11,5
11,5
11,5
11,5
13,5
12,5
13,5
12,5
13,5
14,5
13,5
13,5
12,5
12,5
13,5
12,5
10,5
13,5
13,5
12,5
11,5
14,5
14,5
13,5
11,5
11,5
12,5
11,5
11,5
13,5
13,5
12,5
12,5
11,5
11,5
11,5
12,5
12,5
11,5
13,5
12,5
11,5
12,5
13,5
12,5
13,5
13,5
11,5
12,5
12,5
13,5
12,5
11,5
11,5
13,5
14,5
13,5
13,5
14,5
14,5
12,5
12,5
11,5
13,5
11,5
14,5
14,5
14,5
11,5
11,5
12,5
11,5
12,5
13,5
13,5
12,5
13,5
11,5
13,5
13,5
11,5
13,5
13,5
12,5
11,5
13,5
12,5
13,5
12,5
11,5
13,5
12,5
18,5
13,5
13,5
13,5
13,5
11,5
12,5
13,5
13,5
13,5
13,5
12,5
12,5
13,5
12,5
13,5
12,5
12,5
11,5
12,5
13,5
11,5
12,5
11,5
12,5
13,5
13,5
13,5
12,5
11,5
13,5
12,5
11,5
13,5
11,5
13,5
12,5
13,5
12,5
12,5
10,5
12,5
11,5
11,5
12,5
10,5
12,5
13,5
12,5
12,5
13,5
12,5
11,5
14,5
12,5
13,5
12,5
12,5
11,5
14,5
12,5
12,5
14,5
11,5
14,5
12,5
12,5
13,5
12,5
12,5
11,5
12,5
12,5
11,5
12,5
12,5
11,5
14,5
10,5
11,5
13,5
12,5
13,5
12,5
12,5
14,5
13,5
13,5
9,5
10,5
13,5
13,5
12,5
13,5
9,5
13,5
12,5
10,5
13,5
14,5
10,5
10,5
12,5
14,5
12,5
14,5
13,5
9,5
12,5
10,5
13,5
13,5
12,5
12,5
10,5
13,5
12,5
12,5
10,5
12,5
10,5
12,5
12,5
11,5
13,5
14,5
12,5
14,5
12,5
13,5
12,5
12,5
13,5
10,5
13,5
9,5
12,5
12,5
14,5
12,5
13,5
10,5
11,5
11,5
10,5
13,5
14,5
11,5
13,5
11,5
11,5
12,5
10,5
12,5
11,5
14,5
11,5
9,5
14,5
14,5
14,5
11,5
10,5
12,5
12,5
11,5
10,5
8,5
13,5
12,5
12,5
14,5
12,5
14,5
13,5
13,5
13,5
11,5
12,5
12,5
13,5
12,5
12,5
11,5
10,5
11,5
13,5
12,5
12,5
12,5
12,5
11,5
11,5
13,5
11,5
14,5
14,5
13,5
11,5
11,5
12,5
13,5
13,5
13,5
13,5
13,5
12,5
15,5
12,5
12,5
12,5
12,5
11,5
13,5
13,5
12,5
12,5
12,5
11,5
12,5
13,5
12,5
11,5
12,5
12,5
12,5
11,5
11,5
