area,perimeter,height,width,r_value,g_value,b_value,index,label
232,139.4067239,277,359,216,156,120,11,1
229.5,266.803692,277,359,220,156,91,14,1
235,348.2325364,277,359,222,157,92,13,1
201,2.262741661,277,361,207,167,65,12,1
205,1020.423443,277,361,212,164,50,11,1
234,12.8,277,365,201,170,91,12,1
215.5,279.636995,277,365,226,148,13,13,1
234,22.4,277,365,222,160,56,13,1
235,147.2694646,277,365,209,153,73,13,1
203,281.123288,277,365,227,157,66,12,1
207.5,259.7409492,277,365,213,163,68,12,1
200.5,295.3291748,277,365,222,163,71,13,1
253.5,3.414213538,277,365,220,159,46,11,1
245.5,38.82842708,277,365,215,158,54,12,1
241,4.097056246,277,365,198,162,79,12,1
237,4,277,365,220,158,44,13,1
193.5,252.0154675,277,365,187,165,109,12,1
217.5,163.8719039,277,365,212,163,102,11,1
210,55.78233747,277,365,204,157,80,12,1
214,40.77644997,277,365,175,94,67,11,1
218.5,313.2619743,277,365,227,153,64,12,1
224,245.7291736,277,365,213,162,83,13,1
222,0,277,365,216,161,82,13,1
212.5,244.0154651,277,365,205,175,97,13,1
209,0,277,365,206,160,74,13,1
203,224.782163,277,365,215,161,68,14,1
219.5,187.3194212,277,365,213,155,62,13,1
235,253.260547,277,365,207,148,43,11,1
213,0,277,365,223,159,36,11,1
217.5,7.725483322,277,365,220,162,86,11,1
211,245.9232878,277,365,206,157,98,11,1
232.5,13.51959581,277,365,213,162,86,12,1
321.5,33.35878744,277,365,221,150,64,17,1
213,231.0213534,277,365,218,159,87,12,1
216.5,199.6507907,277,365,168,98,73,10,1
241,189.7998247,277,365,211,155,91,13,1
221.5,297.8061297,277,365,215,165,117,12,1
230.5,298.2213532,277,365,222,154,19,12,1
213,293.809579,277,365,206,165,58,11,1
211,282.4924213,277,365,208,163,59,12,1
222.5,233.5919149,277,365,211,154,64,11,1
222,318.6761857,277,365,212,162,74,11,1
214.5,224.5076468,277,365,213,160,85,12,1
224.5,255.248771,277,365,202,159,66,13,1
196.5,386.2879625,277,365,205,165,72,11,1
238.5,262.3115123,277,365,196,150,13,13,1
266.5,137.6223649,277,365,203,154,11,13,1
239.5,2.4,277,365,195,158,21,13,1
252.5,1.6,277,365,167,101,82,11,1
260,260.2428834,277,365,200,162,123,12,1
225.5,178.6483523,277,365,212,138,93,14,1
241,13.65685415,277,365,186,104,81,13,1
217,272.929174,277,365,228,148,19,13,1
200,192.05424,277,365,195,157,78,13,1
228.5,8.828427076,277,365,206,162,88,13,1
214,386.9202561,277,365,201,162,58,12,1
215.5,262.746838,277,365,207,167,85,11,1
215.5,265.4782087,277,365,221,157,50,13,1
227.5,4,277,365,183,178,42,13,1
232,59.49747479,277,365,202,151,10,11,1
190,338.3919152,277,365,215,163,115,12,1
229.5,175.4601279,277,365,210,142,100,13,1
203.5,298.6345578,277,365,208,162,114,13,1
194.5,6.125483322,277,365,208,158,108,12,1
233.5,284.4369959,277,365,202,173,79,13,1
220,293.374254,277,365,201,165,69,13,1
188,149.5925102,277,365,179,115,103,14,1
228,276.9860303,277,365,193,173,84,13,1
235.5,4.525483322,277,365,192,174,95,13,1
214.5,331.8741663,277,365,198,170,84,13,1
205,316.7496946,277,365,206,166,79,13,1
200.5,214.1409492,277,365,204,165,67,13,1
225,206.1644991,277,365,201,116,66,13,1
229.5,329.9025948,277,365,226,150,36,11,1
223,3.2,277,365,202,165,84,13,1
215,704.3720587,277,365,224,155,38,12,1
210,9.188224983,277,365,223,161,59,12,1
206,197.7644998,277,365,221,155,103,12,1
209.5,0,277,365,187,135,124,13,1
201.5,363.5025923,277,365,211,152,101,12,1
208,462.475176,277,365,225,146,88,13,1
194.5,7.725483322,277,365,217,150,104,14,1
219.5,736.1779465,277,365,200,167,76,13,1
199.5,241.752725,277,365,222,160,52,13,1
199,331.4290891,277,365,201,154,79,12,1
213.5,354.575681,277,365,217,162,45,12,1
212,525.5657524,277,365,208,162,61,12,1
245,86.74112492,277,365,190,173,93,14,1
241.5,8.8,277,365,195,132,101,11,1
229,8.194112492,277,365,190,115,68,13,1
245.5,2.8,277,365,189,137,102,12,1
199.5,254.3586119,277,365,214,171,88,12,1
222,292.7919164,277,365,213,172,85,11,1
236,270.4723204,277,365,212,171,85,12,1
224,29.96467495,277,365,213,107,77,13,1
221.5,234.2213548,277,365,219,162,93,13,1
205.5,282.1909066,277,365,209,147,100,12,1
203,0,277,365,212,165,111,11,1
224.5,190.7336341,277,365,216,155,109,12,1
235.5,49.74701242,277,365,198,173,85,14,1
222,283.7742543,277,365,222,163,60,12,1
221.5,47.79898953,277,365,201,171,69,11,1
226.5,322.9188274,277,365,213,156,34,13,1
239,522.2853482,277,365,222,157,64,15,1
224,419.1172245,277,365,225,159,53,12,1
205,476.8059544,277,365,191,165,54,14,1
203,347.6467494,277,365,229,164,61,12,1
237,5.091168737,277,365,209,125,69,12,1
