area,perimeter,height,width,label
229.0,7.5112697839736935,132,166,3
206.5,184.00571146011353,149,166,3
271.0,0.0,149,166,3
213.5,28.485281229019165,149,186,3
232.0,293.9232871055603,149,186,3
206.5,147.48367795944213,265,186,3
187.0,177.52530755996705,265,186,3
235.5,22.473506212234497,265,186,3
240.0,0.0,265,197,3
192.0,0.0,265,197,3
257.5,1303.0223218917847,265,197,3
210.0,681.588117647171,265,197,3
247.5,7.3539103984832765,265,197,3
216.0,30.659292674064638,265,197,3
228.5,7.491168737411499,265,299,3
239.0,279.9115131378174,265,299,3
214.0,220.58804941177368,265,299,3
214.0,508.8481781959534,265,299,3
258.0,307.3389280319214,265,299,3
184.5,177.21748752593993,265,299,3
184.0,151.03514928817748,265,299,3
165.0,149.51555433273316,265,299,3
266.5,11.588224983215332,265,299,3
211.0,13.51959581375122,265,299,3
207.5,154.8944422006607,265,299,3
242.0,386.6173132658005,265,299,3
224.0,440.47315578460694,265,299,3
215.0,0.0,265,299,3
239.0,176.3939372062683,265,299,3
213.0,35.774011445045474,265,299,3
232.0,0.0,265,299,3
243.5,460.3290018081665,265,299,3
219.0,249.00958003997803,265,299,3
220.0,239.68409633636475,265,299,3
255.5,225.47333085536957,265,299,3
232.5,329.3036049604416,265,299,3
226.0,295.248770236969,265,299,3
196.0,219.9821614265442,265,299,3
232.0,242.88409423828125,265,299,3
217.0,332.71781611442566,265,299,3
206.0,483.3819863319397,265,299,3
220.0,272.1860278129578,265,299,3
199.0,233.08998346328735,265,299,3
230.5,303.83110761642456,265,299,3
252.5,0.0,265,299,3
252.5,478.58686611652377,265,299,3
191.0,31.333809351921083,265,299,3
204.0,321.6252199172974,265,299,3
221.5,51.41909058094025,265,299,3
222.5,2.7313708305358886,274,299,3
223.0,315.2619731426239,274,299,3
200.5,312.2914102077484,274,299,3
213.5,280.7350633621216,274,299,3
206.5,244.26702570915222,274,299,3
211.5,370.960458278656,274,299,3
205.0,24.582337474823,274,299,3
217.5,263.4095775604248,274,299,3
242.0,22.953910398483277,274,299,3
219.0,34.97888848781586,274,299,3
204.0,5.091168737411499,274,299,3
222.0,0.0,274,299,3
236.0,254.74683713912964,274,299,3
220.0,0.0,274,299,3
220.5,516.751120018959,274,326,3
195.5,58.65929267406464,274,326,3
218.0,265.9468369483948,274,326,3
209.0,234.22135343551636,274,326,3
229.0,574.280469918251,274,326,3
243.5,8.194112491607665,274,326,3
221.0,226.80369176864625,274,326,3
224.0,13.988224983215332,274,326,3
249.0,99.8205186367035,274,326,3
209.5,274.0467472076416,274,326,3
218.5,190.27535195350646,274,326,3
222.0,480.07803268432616,274,326,3
219.0,302.69973649978635,274,326,3
239.0,43.778888487815856,274,326,3
232.5,564.3789549350738,274,326,3
234.5,252.59780550003052,274,326,3
227.0,138.41261019706727,274,326,3
227.0,6.2426406145095825,274,326,3
210.5,64.6156415939331,274,326,3
202.0,320.49384984970095,274,326,3
211.5,331.6605456352234,274,326,3
221.0,219.17871224880219,274,326,3
225.5,327.44288301467896,274,326,3
180.5,134.54986853599547,274,326,3
206.5,411.98989403247833,274,326,3
203.0,275.1919153213501,274,326,3
193.0,342.9604562759399,274,326,3
