index,label
13,8
12,8
12,8
12,8
12,8
12,8
13,8
12,8
11,8
12,8
13,8
14,8
13,8
11,8
11,8
10,8
13,8
12,8
9,8
9,8
11,8
9,8
13,8
14,8
13,8
12,8
11,8
12,8
10,8
13,8
11,8
11,8
12,8
13,8
13,8
12,8
13,8
12,8
13,8
13,8
13,8
12,8
13,8
12,8
12,8
13,8
13,8
12,8
11,8
13,8
13,8
13,8
9,8
13,8
13,8
12,8
12,8
14,8
11,8
12,8
12,8
12,8
11,8
13,8
12,8
11,8
11,8
11,8
14,8
10,8
13,8
10,8
11,8
9,8
12,8
13,8
11,8
12,8
13,8
12,8
11,8
12,8
14,8
12,8
13,8
14,8
12,8
13,8
13,8
11,8
11,8
13,8
12,8
10,8
12,8
14,8
13,8
13,8
14,8
11,8
13,8
15,8
11,8
13,8
10,8
13,8
13,8
12,8
12,8
12,8
13,8
12,8
12,8
12,8
12,8
12,8
12,8
14,8
12,8
12,8
12,8
11,8
12,8
12,8
13,8
11,8
10,8
12,8
9,8
11,8
11,8
13,8
12,8
12,8
12,8
12,8
14,8
13,8
14,8
11,8
11,8
13,8
12,8
12,8
12,8
12,8
12,8
13,8
12,8
11,8
10,8
11,8
11,8
12,8
12,8
11,8
12,8
11,8
12,8
12,8
11,8
12,8
11,8
12,8
13,8
10,8
14,8
12,8
12,8
12,8
13,8
13,8
13,8
12,8
12,8
12,8
13,8
12,8
10,8
13,8
12,8
11,8
13,8
14,8
10,8
11,8
12,8
12,8
13,8
12,8
15,8
11,8
13,8
12,8
13,8
13,8
12,8
15,8
13,8
13,8
14,8
13,8
13,8
11,8
12,8
13,8
12,8
12,8
12,8
11,8
11,8
12,8
14,8
14,8
11,8
12,8
12,8
11,8
13,8
11,8
14,8
13,8
14,8
13,8
10,8
11,8
12,8
12,8
13,8
12,8
12,8
8,8
12,8
11,8
12,8
9,8
12,8
13,8
11,8
13,8
11,8
14,8
13,8
11,8
13,8
13,8
10,8
12,8
10,8
9,8
10,8
13,8
12,8
13,8
13,8
14,8
13,8
12,8
12,8
11,8
10,8
13,8
12,8
12,8
9,8
12,8
11,8
13,8
13,8
15,8
11,8
14,8
10,8
10,8
11,8
12,8
13,8
13,8
11,8
13,8
11,8
9,8
12,8
9,8
11,8
13,8
15,8
12,8
12,8
10,8
12,8
10,8
11,8
12,8
11,8
13,8
11,8
13,8
10,8
10,8
12,8
10,8
11,8
10,8
14,8
12,8
