index,label
13,3
13,3
13,3
12,3
11,3
12,3
13,3
12,3
11,3
11,3
12,3
12,3
12,3
11,3
12,3
12,3
11,3
12,3
12,3
11,3
12,3
12,3
13,3
13,3
12,3
13,3
12,3
14,3
10,3
12,3
12,3
13,3
11,3
11,3
12,3
13,3
13,3
14,3
12,3
11,3
13,3
11,3
11,3
11,3
10,3
13,3
12,3
13,3
11,3
11,3
11,3
16,3
14,3
11,3
13,3
14,3
11,3
13,3
12,3
14,3
15,3
14,3
13,3
13,3
13,3
13,3
12,3
12,3
13,3
12,3
11,3
11,3
12,3
13,3
13,3
13,3
13,3
13,3
12,3
12,3
11,3
11,3
12,3
12,3
13,3
12,3
12,3
11,3
12,3
13,3
13,3
11,3
11,3
12,3
12,3
10,3
11,3
11,3
11,3
11,3
12,3
13,3
14,3
12,3
10,3
13,3
13,3
12,3
12,3
10,3
13,3
13,3
13,3
13,3
12,3
10,3
15,3
14,3
12,3
13,3
12,3
13,3
13,3
13,3
13,3
10,3
13,3
11,3
11,3
13,3
13,3
13,3
12,3
12,3
13,3
13,3
14,3
12,3
13,3
12,3
11,3
14,3
13,3
13,3
13,3
13,3
12,3
12,3
13,3
11,3
12,3
11,3
9,3
11,3
13,3
12,3
13,3
12,3
13,3
13,3
13,3
11,3
12,3
11,3
11,3
12,3
11,3
13,3
13,3
13,3
13,3
13,3
11,3
13,3
13,3
11,3
12,3
13,3
13,3
12,3
12,3
12,3
13,3
13,3
13,3
11,3
12,3
13,3
11,3
14,3
13,3
12,3
11,3
13,3
11,3
12,3
12,3
12,3
12,3
14,3
13,3
12,3
12,3
13,3
11,3
13,3
14,3
15,3
13,3
12,3
12,3
12,3
11,3
11,3
11,3
13,3
14,3
11,3
11,3
12,3
11,3
12,3
12,3
14,3
14,3
12,3
11,3
13,3
12,3
12,3
15,3
14,3
12,3
12,3
11,3
10,3
11,3
11,3
11,3
13,3
14,3
12,3
12,3
12,3
12,3
13,3
13,3
13,3
12,3
11,3
11,3
13,3
12,3
9,3
13,3
11,3
12,3
13,3
11,3
11,3
13,3
13,3
13,3
14,3
13,3
11,3
11,3
11,3
13,3
13,3
14,3
13,3
11,3
13,3
12,3
13,3
13,3
12,3
12,3
11,3
12,3
12,3
12,3
11,3
13,3
13,3
11,3
12,3
12,3
12,3
12,3
12,3
13,3
11,3
12,3
11,3
13,3
12,3
12,3
13,3
12,3
14,3
13,3
13,3
12,3
12,3
