index,label
13,9
10,9
11,9
12,9
11,9
12,9
10,9
11,9
12,9
12,9
12,9
12,9
10,9
11,9
10,9
13,9
14,9
13,9
14,9
11,9
10,9
14,9
9,9
14,9
11,9
14,9
10,9
12,9
13,9
12,9
12,9
10,9
11,9
12,9
13,9
14,9
12,9
11,9
12,9
9,9
10,9
13,9
12,9
13,9
11,9
12,9
13,9
13,9
9,9
10,9
11,9
12,9
12,9
10,9
13,9
12,9
12,9
13,9
11,9
10,9
13,9
12,9
13,9
11,9
12,9
11,9
11,9
12,9
12,9
12,9
12,9
12,9
12,9
10,9
10,9
12,9
12,9
10,9
12,9
13,9
13,9
12,9
15,9
14,9
12,9
13,9
9,9
9,9
10,9
11,9
11,9
12,9
12,9
13,9
12,9
13,9
12,9
12,9
12,9
10,9
12,9
11,9
10,9
12,9
12,9
12,9
13,9
13,9
10,9
11,9
10,9
12,9
11,9
12,9
12,9
10,9
12,9
12,9
13,9
12,9
10,9
12,9
10,9
12,9
13,9
15,9
10,9
11,9
12,9
12,9
13,9
12,9
11,9
12,9
11,9
11,9
14,9
18,9
12,9
13,9
12,9
11,9
12,9
12,9
12,9
11,9
13,9
14,9
11,9
11,9
12,9
14,9
13,9
10,9
11,9
10,9
13,9
12,9
13,9
13,9
14,9
11,9
11,9
14,9
13,9
12,9
11,9
13,9
12,9
12,9
12,9
12,9
12,9
10,9
10,9
13,9
11,9
11,9
12,9
13,9
13,9
11,9
10,9
12,9
13,9
10,9
12,9
12,9
12,9
10,9
10,9
11,9
11,9
13,9
11,9
10,9
10,9
10,9
13,9
11,9
12,9
12,9
11,9
9,9
12,9
12,9
10,9
14,9
12,9
13,9
12,9
11,9
13,9
14,9
12,9
11,9
11,9
12,9
12,9
13,9
11,9
11,9
11,9
11,9
13,9
10,9
13,9
11,9
11,9
11,9
11,9
14,9
11,9
11,9
10,9
10,9
10,9
14,9
13,9
13,9
14,9
12,9
11,9
12,9
11,9
11,9
11,9
11,9
11,9
12,9
10,9
11,9
12,9
12,9
11,9
12,9
12,9
14,9
11,9
13,9
11,9
11,9
11,9
9,9
14,9
12,9
14,9
13,9
11,9
10,9
10,9
14,9
12,9
10,9
11,9
10,9
9,9
10,9
12,9
12,9
11,9
11,9
12,9
12,9
10,9
12,9
12,9
12,9
12,9
10,9
13,9
10,9
8,9
8,9
9,9
11,9
10,9
12,9
12,9
13,9
13,9
11,9
10,9
12,9
11,9
13,9
