index,label
11,1
13,1
12,1
12,1
13,1
12,1
12,1
11,1
13,1
13,1
12,1
14,1
12,1
13,1
13,1
12,1
12,1
11,1
12,1
12,1
13,1
12,1
11,1
11,1
14,1
13,1
13,1
13,1
12,1
12,1
13,1
11,1
13,1
14,1
13,1
12,1
12,1
10,1
12,1
12,1
13,1
13,1
12,1
12,1
13,1
14,1
12,1
11,1
14,1
12,1
13,1
12,1
11,1
13,1
13,1
10,1
13,1
11,1
14,1
13,1
13,1
14,1
14,1
11,1
12,1
12,1
10,1
10,1
13,1
12,1
13,1
13,1
12,1
13,1
12,1
12,1
10,1
13,1
12,1
12,1
11,1
12,1
11,1
12,1
13,1
11,1
10,1
11,1
14,1
14,1
13,1
13,1
11,1
11,1
12,1
12,1
12,1
12,1
11,1
13,1
12,1
12,1
13,1
14,1
12,1
10,1
11,1
14,1
13,1
14,1
13,1
13,1
12,1
13,1
12,1
11,1
12,1
12,1
12,1
11,1
11,1
11,1
10,1
11,1
11,1
12,1
12,1
12,1
12,1
13,1
11,1
11,1
11,1
12,1
14,1
13,1
13,1
13,1
12,1
14,1
11,1
14,1
13,1
12,1
11,1
12,1
13,1
13,1
13,1
12,1
12,1
13,1
11,1
12,1
12,1
13,1
12,1
11,1
12,1
11,1
12,1
13,1
13,1
13,1
13,1
14,1
13,1
11,1
11,1
11,1
11,1
12,1
17,1
12,1
10,1
13,1
12,1
12,1
11,1
12,1
11,1
11,1
12,1
13,1
11,1
13,1
13,1
13,1
11,1
12,1
14,1
13,1
13,1
13,1
13,1
12,1
11,1
13,1
13,1
11,1
12,1
13,1
13,1
12,1
13,1
13,1
14,1
13,1
13,1
13,1
13,1
13,1
13,1
11,1
13,1
12,1
12,1
12,1
13,1
12,1
13,1
14,1
13,1
13,1
12,1
12,1
12,1
14,1
11,1
13,1
12,1
12,1
11,1
12,1
13,1
13,1
12,1
11,1
12,1
14,1
12,1
11,1
13,1
15,1
12,1
14,1
12,1
12,1
12,1
12,1
12,1
13,1
12,1
13,1
12,1
13,1
12,1
12,1
12,1
12,1
13,1
12,1
13,1
12,1
12,1
14,1
14,1
12,1
11,1
12,1
13,1
13,1
12,1
12,1
13,1
12,1
13,1
14,1
12,1
13,1
12,1
13,1
13,1
12,1
11,1
13,1
11,1
12,1
12,1
12,1
11,1
12,1
13,1
11,1
12,1
13,1
12,1
10,1
13,1
13,1
12,1
12,1
10,1
10,1
13,1
13,1
14,2
12,2
12,2
11,2
13,2
12,2
14,2
11,2
11,2
12,2
12,2
12,2
15,2
14,2
11,2
11,2
13,2
14,2
12,2
12,2
12,2
11,2
12,2
12,2
11,2
11,2
11,2
13,2
14,2
13,2
12,2
13,2
12,2
13,2
12,2
13,2
13,2
11,2
12,2
13,2
12,2
12,2
10,2
11,2
12,2
14,2
13,2
12,2
12,2
12,2
12,2
11,2
12,2
13,2
14,2
14,2
12,2
13,2
13,2
11,2
13,2
13,2
14,2
13,2
11,2
13,2
12,2
11,2
13,2
12,2
12,2
12,2
13,2
13,2
12,2
13,2
12,2
14,2
12,2
11,2
12,2
12,2
12,2
12,2
12,2
13,2
12,2
12,2
12,2
13,2
15,2
13,2
11,2
12,2
12,2
11,2
12,2
12,2
11,2
12,2
12,2
12,2
13,2
12,2
13,2
14,2
11,2
11,2
12,2
13,2
13,2
14,2
14,2
13,2
12,2
11,2
12,2
14,2
14,2
13,2
14,2
14,2
13,2
13,2
13,2
12,2
12,2
11,2
13,2
12,2
13,2
13,2
12,2
13,2
13,2
13,2
13,2
13,2
11,2
11,2
11,2
13,2
12,2
13,2
14,2
12,2
11,2
11,2
11,2
11,2
12,2
11,2
14,2
12,2
13,2
14,2
13,2
13,2
12,2
13,2
12,2
12,2
13,2
12,2
12,2
11,2
12,2
14,2
11,2
12,2
12,2
13,2
12,2
13,2
13,2
10,2
13,2
14,2
12,2
12,2
11,2
11,2
11,2
11,2
13,2
14,2
13,2
11,2
11,2
11,2
13,2
11,2
11,2
14,2
12,2
12,2
12,2
13,2
13,2
13,2
13,2
13,2
14,2
11,2
11,2
11,2
11,2
11,2
11,2
12,2
12,2
13,2
13,2
12,2
14,2
13,2
13,2
14,2
11,2
13,2
10,2
12,2
12,2
13,2
13,2
13,2
12,2
12,2
12,2
12,2
15,2
13,2
12,2
12,2
13,2
15,2
13,2
12,2
12,2
12,2
12,2
12,2
14,2
13,2
12,2
11,2
14,2
12,2
12,2
13,2
12,2
12,2
11,2
14,2
12,2
12,2
12,2
13,2
11,2
12,2
15,2
12,2
13,2
14,2
14,2
12,2
11,2
13,2
11,2
12,2
13,2
13,2
12,2
12,2
12,2
13,2
11,2
10,2
12,2
14,2
13,2
13,2
12,2
10,2
13,2
11,2
11,2
13,2
12,2
12,2
12,2
12,2
12,2
13,2
11,2
11,2
11,2
13,2
10,2
12,2
12,2
13,2
12,2
13,2
13,2
13,2
13,3
13,3
13,3
12,3
11,3
12,3
13,3
12,3
11,3
11,3
12,3
12,3
12,3
11,3
12,3
12,3
11,3
12,3
12,3
11,3
12,3
12,3
13,3
13,3
12,3
13,3
12,3
14,3
10,3
12,3
12,3
13,3
11,3
11,3
12,3
13,3
13,3
14,3
12,3
11,3
13,3
11,3
11,3
11,3
10,3
13,3
12,3
13,3
11,3
11,3
11,3
16,3
14,3
11,3
13,3
14,3
11,3
13,3
12,3
14,3
15,3
14,3
13,3
13,3
13,3
13,3
12,3
12,3
13,3
12,3
11,3
11,3
12,3
13,3
13,3
13,3
13,3
13,3
12,3
12,3
11,3
11,3
12,3
12,3
13,3
12,3
12,3
11,3
12,3
13,3
13,3
11,3
11,3
12,3
12,3
10,3
11,3
11,3
11,3
11,3
12,3
13,3
14,3
12,3
10,3
13,3
13,3
12,3
12,3
10,3
13,3
13,3
13,3
13,3
12,3
10,3
15,3
14,3
12,3
13,3
12,3
13,3
13,3
13,3
13,3
10,3
13,3
11,3
11,3
13,3
13,3
13,3
12,3
12,3
13,3
13,3
14,3
12,3
13,3
12,3
11,3
14,3
13,3
13,3
13,3
13,3
12,3
12,3
13,3
11,3
12,3
11,3
9,3
11,3
13,3
12,3
13,3
12,3
13,3
13,3
13,3
11,3
12,3
11,3
11,3
12,3
11,3
13,3
13,3
13,3
13,3
13,3
11,3
13,3
13,3
11,3
12,3
13,3
13,3
12,3
12,3
12,3
13,3
13,3
13,3
11,3
12,3
13,3
11,3
14,3
13,3
12,3
11,3
13,3
11,3
12,3
12,3
12,3
12,3
14,3
13,3
12,3
12,3
13,3
11,3
13,3
14,3
15,3
13,3
12,3
12,3
12,3
11,3
11,3
11,3
13,3
14,3
11,3
11,3
12,3
11,3
12,3
12,3
14,3
14,3
12,3
11,3
13,3
12,3
12,3
15,3
14,3
12,3
12,3
11,3
10,3
11,3
11,3
11,3
13,3
14,3
12,3
12,3
12,3
12,3
13,3
13,3
13,3
12,3
11,3
11,3
13,3
12,3
9,3
13,3
11,3
12,3
13,3
11,3
11,3
13,3
13,3
13,3
14,3
13,3
11,3
11,3
11,3
13,3
13,3
14,3
13,3
11,3
13,3
12,3
13,3
13,3
12,3
12,3
11,3
12,3
12,3
12,3
11,3
13,3
13,3
11,3
12,3
12,3
12,3
12,3
12,3
13,3
11,3
12,3
11,3
13,3
12,3
12,3
13,3
12,3
14,3
13,3
13,3
12,3
12,3
12,4
11,4
11,4
12,4
11,4
13,4
13,4
12,4
12,4
12,4
10,4
13,4
13,4
12,4
13,4
12,4
13,4
12,4
13,4
11,4
13,4
12,4
10,4
11,4
12,4
10,4
11,4
13,4
13,4
13,4
12,4
13,4
12,4
11,4
13,4
11,4
12,4
12,4
12,4
11,4
11,4
13,4
11,4
11,4
13,4
13,4
12,4
12,4
13,4
12,4
13,4
14,4
11,4
13,4
13,4
10,4
11,4
12,4
13,4
11,4
14,4
13,4
13,4
13,4
11,4
14,4
13,4
12,4
12,4
13,4
11,4
13,4
14,4
10,4
10,4
14,4
12,4
14,4
11,4
12,4
12,4
14,4
13,4
11,4
13,4
12,4
11,4
12,4
13,4
13,4
12,4
11,4
10,4
12,4
11,4
11,4
11,4
10,4
11,4
12,4
12,4
13,4
11,4
13,4
13,4
11,4
12,4
11,4
15,4
13,4
13,4
13,4
13,4
13,4
13,4
10,4
13,4
13,4
12,4
13,4
14,4
12,4
11,4
13,4
13,4
12,4
12,4
12,4
13,4
11,4
12,4
10,4
12,4
13,4
12,4
14,4
13,4
12,4
12,4
12,4
12,4
13,4
14,4
11,4
12,4
12,4
13,4
12,4
11,4
12,4
13,4
12,4
13,4
13,4
13,4
13,4
12,4
12,4
12,4
11,4
12,4
12,4
12,4
15,4
12,4
13,4
13,4
11,4
13,4
11,4
12,4
10,4
11,4
12,4
15,4
14,4
14,4
13,4
13,4
12,4
14,4
11,4
13,4
11,4
13,4
12,4
11,4
11,4
13,4
12,4
10,4
12,4
11,4
15,4
10,4
13,4
16,4
11,4
14,4
11,4
12,4
13,4
11,4
12,4
13,4
13,4
12,4
12,4
12,4
12,4
11,4
14,4
13,4
14,4
13,4
11,4
13,4
13,4
13,4
12,4
12,4
14,4
13,4
12,4
13,4
11,4
11,4
11,4
13,4
13,4
13,4
12,4
13,4
14,4
13,4
13,4
12,4
13,4
13,4
16,4
11,4
11,4
11,4
12,4
11,4
13,4
13,4
13,4
12,4
12,4
11,4
11,4
12,4
12,4
12,4
13,4
12,4
13,4
13,4
12,4
11,4
12,4
12,4
13,4
10,4
12,4
12,4
13,4
12,4
12,4
12,4
11,4
11,4
13,4
