r_value,g_value,b_value,label
216,163,102,2
217,150,47,2
216,154,43,2
217,145,90,2
215,153,49,2
216,166,80,2
215,110,68,2
218,155,106,2
217,149,87,2
218,167,115,2
217,145,43,2
218,147,50,2
216,166,79,2
216,162,60,2
218,126,99,2
217,145,103,2
216,122,62,2
217,159,132,2
214,181,167,2
214,145,2,2
214,118,81,2
216,156,39,2
214,147,91,2
216,154,92,2
216,137,65,2
216,121,81,2
217,166,41,2
214,160,83,2
214,128,90,2
214,151,50,2
218,121,83,2
214,153,114,2
214,152,50,2
215,149,96,2
216,165,77,2
218,111,61,2
217,134,58,2
215,124,76,2
213,163,70,2
213,120,80,2
217,171,111,2
217,152,60,2
217,150,56,2
217,121,81,2
213,163,74,2
217,102,61,2
216,170,105,2
217,157,98,2
215,159,101,2
214,165,91,2
215,166,80,2
214,175,109,2
216,164,90,2
214,163,94,2
216,152,112,2
213,169,122,2
217,161,65,2
217,143,59,2
216,141,75,2
213,146,105,2
215,150,109,2
214,146,107,2
217,161,65,2
217,150,58,2
213,157,83,2
214,163,93,2
215,153,49,2
213,155,38,2
213,119,70,2
214,154,74,2
215,154,76,2
214,164,57,2
216,150,14,2
216,160,108,2
215,158,82,2
214,158,102,2
215,149,16,2
214,164,66,2
216,149,99,2
214,168,77,2
217,161,110,2
217,161,68,2
217,161,68,2
214,162,64,2
215,163,73,2
215,171,104,2
216,166,79,2
215,157,105,2
215,146,93,2
213,151,69,2
213,158,106,2
215,152,101,2
217,107,78,2
217,134,71,2
217,130,70,2
215,158,79,2
208,161,88,3
212,165,107,3
211,161,94,3
210,148,86,3
210,163,63,3
208,149,93,3
211,169,107,3
210,159,72,3
209,161,68,3
212,162,97,3
212,173,109,3
208,127,88,3
208,160,76,3
208,164,110,3
209,159,68,3
208,171,92,3
212,120,64,3
210,120,65,3
209,160,90,3
209,166,102,3
211,155,94,3
212,164,106,3
210,168,95,3
212,153,90,3
208,171,119,3
211,171,91,3
208,162,93,3
208,176,98,3
211,156,87,3
208,154,89,3
211,159,55,3
211,156,41,3
209,164,103,3
208,159,58,3
209,166,127,3
211,161,77,3
212,166,121,3
212,158,49,3
208,150,108,3
212,149,17,3
209,161,103,3
212,170,88,3
212,164,82,3
212,164,96,3
209,145,36,3
208,166,117,3
209,163,76,3
208,155,29,3
211,170,60,3
212,158,108,3
211,155,113,3
209,154,32,3
209,161,81,3
212,151,18,3
209,153,12,3
212,154,11,3
211,157,71,3
208,171,92,3
209,168,48,3
208,169,46,3
209,156,37,3
211,164,106,3
208,151,36,3
210,168,90,3
208,165,85,3
212,165,46,3
210,163,88,3
211,162,76,3
209,156,109,3
209,180,107,3
212,154,100,3
211,167,82,3
210,161,109,3
210,151,98,3
209,123,69,3
212,163,61,3
211,157,79,3
210,156,82,3
210,153,64,3
209,148,58,3
212,165,86,3
212,165,76,3
212,152,12,3
212,164,70,3
212,123,61,3
212,162,76,3
209,153,85,3
211,129,58,3
212,153,93,3
209,170,107,3
212,174,132,3
212,158,60,3
209,157,74,3
211,170,89,3
212,125,85,3
209,140,111,3
209,135,90,3
210,160,103,3
210,163,100,3
211,152,103,3
209,137,82,3
212,148,109,3
209,173,110,3
211,156,41,3
209,145,31,3
209,170,121,3
212,139,67,3
212,162,52,3
210,153,44,3
212,153,103,3
211,161,70,3
210,163,73,3
212,161,20,3
209,152,113,3
209,162,86,3
210,159,78,3
209,155,66,3
210,158,116,3
212,146,11,3
212,159,111,3
212,161,69,3
209,159,42,3
209,159,39,3
212,148,104,3
209,157,78,3
210,155,8,3
210,165,84,3
212,162,27,3
211,166,90,3
209,148,92,3
212,143,63,3
212,159,62,3
210,122,62,3
209,155,74,3
210,165,52,3
211,156,87,3
212,171,85,3
210,139,77,3
209,160,93,3
209,122,65,3
210,141,74,3
209,132,72,3
210,168,46,3
210,165,98,3
210,172,100,3
212,166,80,3
208,153,67,3
211,167,86,3
209,164,83,3
211,158,108,3
209,135,76,3
209,128,60,3
211,158,101,3
210,170,103,3
212,160,98,3
212,159,75,3
210,155,46,3
212,164,50,3
212,160,64,3
212,155,69,3
210,139,98,3
212,157,100,3
211,159,90,3
210,125,69,3
210,157,49,3
211,168,112,3
209,174,91,3
212,140,102,3
209,153,73,3
210,163,40,3
211,161,42,3
210,167,63,3
211,151,55,3
212,163,107,3
210,166,78,3
210,156,16,3
211,157,49,3
210,158,101,3
212,157,90,3
212,163,102,3
209,172,101,3
210,166,46,3
212,162,30,3
210,164,42,3
210,166,49,3
212,156,114,3
209,173,100,3
212,113,72,3
212,162,74,3
212,176,88,3
211,155,91,3
211,174,84,3
211,169,53,3
210,165,79,3
211,126,64,3
209,159,50,3
211,150,48,3
211,165,83,3
211,163,80,3
210,164,82,3
211,167,85,3
208,163,59,3
212,165,82,3
212,168,115,3
211,153,49,3
211,165,116,3
212,141,89,3
211,161,36,3
209,168,114,3
212,159,76,3
209,166,69,3
212,155,20,3
211,154,64,3
212,162,101,3
210,171,80,3
210,154,100,3
212,162,100,3
212,111,66,3
210,167,90,3
211,173,92,3
210,149,124,3
212,155,25,3
212,153,96,3
208,160,66,3
212,162,74,3
211,157,100,3
211,164,76,3
211,159,45,3
209,158,50,3
209,152,98,3
209,158,73,3
212,123,72,3
210,148,85,3
211,160,53,3
210,158,51,3
212,138,93,3
212,163,60,3
210,158,21,3
211,167,49,3
212,164,29,3
211,159,41,3
213,138,107,3
211,157,15,3
209,148,86,3
213,159,62,3
211,166,77,3
210,142,100,3
212,112,67,3
210,133,65,3
211,164,79,3
210,181,113,3
212,106,74,3
212,159,63,3
210,167,67,3
210,170,114,3
210,128,92,3
212,163,80,3
208,162,114,3
212,164,112,3
212,146,86,3
212,173,86,3
210,165,62,3
213,170,115,3
213,162,96,3
211,154,32,3
211,127,83,3
210,134,59,3
212,156,91,3
208,158,108,3
213,105,67,3
212,116,75,3
213,157,76,3
211,107,63,3
209,174,104,3
209,179,112,3
211,135,60,3
211,122,71,3
212,132,62,3
210,166,85,3
211,152,101,3
212,157,79,3
213,152,66,3
213,139,102,3
211,162,102,3
210,143,109,3
209,136,67,3
210,164,102,3
212,154,77,3
209,150,68,3
210,167,97,3
208,162,61,3
211,156,88,3
