r_value,g_value,b_value,label
204,156,21,4
207,155,48,4
204,166,61,4
206,170,89,4
208,165,87,4
204,163,97,4
207,154,67,4
208,168,91,4
204,156,72,4
206,167,77,4
205,156,22,4
207,188,128,4
204,160,66,4
207,128,68,4
207,133,60,4
206,170,92,4
208,170,106,4
204,156,81,4
206,170,89,4
204,127,58,4
207,130,59,4
207,175,114,4
206,130,59,4
207,171,103,4
206,132,66,4
208,118,65,4
207,157,95,4
204,158,41,4
204,146,97,4
205,128,67,4
208,157,72,4
205,133,68,4
206,167,67,4
206,166,66,4
206,164,91,4
207,160,35,4
204,166,68,4
207,164,95,4
206,175,105,4
207,172,100,4
205,155,31,4
208,170,113,4
207,159,26,4
206,160,53,4
207,157,21,4
206,155,113,4
205,149,69,4
204,166,88,4
206,170,65,4
207,150,16,4
206,158,112,4
206,153,29,4
206,165,78,4
206,160,23,4
207,167,52,4
207,163,106,4
205,161,74,4
207,167,65,4
208,157,18,4
208,128,61,4
207,126,56,4
207,167,81,4
206,156,83,4
205,148,59,4
208,161,100,4
206,117,66,4
207,155,67,4
206,161,128,4
204,157,80,4
207,148,91,4
208,144,90,4
208,165,87,4
206,169,99,4
208,163,98,4
208,148,43,4
205,160,57,4
206,180,123,4
206,136,69,4
207,129,61,4
205,175,97,4
206,167,93,4
206,166,113,4
207,158,104,4
208,165,107,4
206,170,110,4
207,161,52,4
207,166,88,4
206,160,100,4
208,165,99,4
205,165,56,4
206,160,74,4
204,164,75,4
206,127,70,4
208,136,64,4
205,161,107,4
206,154,16,4
206,168,68,4
204,155,44,4
208,154,23,4
208,163,32,4
206,169,76,4
207,148,43,4
205,163,102,4
207,164,96,4
207,158,88,4
208,163,31,4
205,171,78,4
208,184,115,4
208,163,30,4
206,168,90,4
206,164,68,4
207,157,20,4
207,164,90,4
206,157,98,4
207,149,12,4
207,149,11,4
208,174,95,4
208,174,85,4
204,162,61,4
207,153,60,4
205,155,56,4
204,170,83,4
207,152,92,4
205,164,87,4
206,165,58,4
204,120,66,4
208,127,65,4
208,169,93,4
206,146,51,4
208,139,67,4
208,133,57,4
208,166,116,4
207,119,63,4
207,152,40,4
206,141,74,4
205,165,72,4
204,156,38,4
208,164,50,4
207,155,7,4
208,131,72,4
207,161,84,4
205,159,54,4
205,162,104,4
208,165,63,4
206,123,84,4
204,110,67,4
206,162,88,4
206,155,63,4
205,166,93,4
208,164,102,4
205,154,67,4
204,163,84,4
205,160,76,4
204,162,77,4
207,153,79,4
208,159,97,4
204,123,66,4
207,167,85,4
206,156,72,4
204,160,96,4
206,171,81,4
207,130,62,4
207,145,62,4
207,132,67,4
206,159,111,4
205,156,70,4
207,167,54,4
205,167,88,4
206,166,79,4
207,162,63,4
206,142,108,4
205,159,45,4
208,159,91,4
207,162,36,4
207,141,35,4
208,138,32,4
207,159,17,4
206,141,34,4
205,167,98,4
204,165,67,4
204,143,57,4
205,124,77,4
205,155,17,4
207,167,43,4
207,157,10,4
206,121,83,4
207,161,88,4
205,170,61,4
204,155,20,4
204,168,65,4
207,172,52,4
204,115,70,4
205,162,96,4
205,165,63,4
204,130,56,4
207,159,92,4
206,161,97,4
208,167,85,4
207,149,55,4
206,171,92,4
207,134,69,4
207,167,42,4
205,115,76,4
206,141,83,4
206,115,80,4
208,164,75,4
205,121,62,4
207,169,91,4
206,169,87,4
205,169,100,4
208,120,78,4
206,119,58,4
205,164,36,4
206,165,70,4
208,134,100,4
208,162,87,4
207,157,87,4
205,162,97,4
206,135,73,4
208,120,60,4
208,125,65,4
205,155,87,4
206,182,103,4
207,160,76,4
206,162,69,4
205,170,77,4
205,168,94,4
206,159,64,4
205,158,82,4
207,164,85,4
208,146,80,4
204,130,64,4
204,139,102,4
204,162,67,4
207,149,67,4
204,161,108,4
205,149,68,4
205,158,50,4
207,163,65,4
205,161,21,4
208,165,104,4
206,158,86,4
206,141,34,4
207,159,20,4
207,143,109,4
205,159,27,4
205,152,100,4
205,165,74,4
207,143,55,4
205,167,47,4
204,154,28,4
205,154,10,4
208,167,63,4
205,174,84,4
207,138,70,4
204,168,86,4
207,162,98,4
206,148,108,4
206,156,121,4
208,170,139,4
208,166,94,4
204,153,86,4
208,165,37,4
205,169,67,4
206,150,74,4
204,181,120,4
206,120,63,4
204,124,69,4
207,152,77,4
204,124,57,4
204,127,56,4
205,167,106,4
204,119,62,4
207,148,116,4
208,159,56,4
204,131,58,4
204,154,109,4
204,164,59,4
207,143,87,4
205,146,79,4
207,175,137,4
207,166,67,4
207,147,73,4
206,109,72,4
205,154,60,4
207,154,54,4
204,160,95,4
207,175,104,4
208,144,72,4
204,162,40,4
207,163,77,4
207,156,77,4
204,173,107,4
208,165,81,4
204,133,102,4
208,152,83,4
204,113,69,4
205,145,64,4
207,151,68,4
204,160,116,4
208,138,103,4
204,155,59,4
207,158,100,4
206,158,84,4
206,139,71,4
205,135,102,4
207,128,75,4
205,168,66,4
206,164,57,4
207,156,44,4
206,169,99,4
207,173,106,4
204,164,14,4
206,160,63,4
206,148,84,4
206,143,80,4
207,168,85,4
206,157,26,4
207,160,26,4
205,166,103,4
206,165,65,4
206,168,65,4
205,150,102,4
205,169,83,4
204,157,7,4
204,162,79,4
205,169,69,4
206,160,96,4
208,159,79,4
208,165,39,4
206,167,57,4
205,159,84,4
208,167,111,4
205,161,108,4
207,167,117,4
204,141,72,4
205,167,99,4
208,135,52,4
205,163,94,4
208,153,69,4
205,113,73,4
204,123,66,4
207,143,61,4
208,158,78,4
208,161,55,4
205,148,113,4
204,153,79,4
205,144,63,4
204,151,102,4
207,140,85,4
207,144,94,4
204,162,65,4
206,115,84,4
204,155,79,4
206,144,96,4
205,123,56,4
205,133,61,4
206,169,96,4
205,157,72,4
208,125,96,4
204,116,80,4
206,127,95,4
205,161,62,4
204,129,86,4
205,127,91,4
207,182,159,4
208,156,56,4
208,162,33,4
204,139,91,4
206,140,68,4
207,170,93,4
204,160,57,4
206,142,70,4
207,170,93,4
204,108,69,4
206,138,67,4
208,156,23,4
208,155,22,4
205,154,23,4
204,142,57,4
208,147,82,4
206,145,51,4
205,169,95,4
205,156,24,4
206,147,101,4
206,165,57,4
205,158,25,4
207,147,98,4
208,111,80,4
205,170,75,4
204,161,41,4
206,157,44,4
208,141,103,4
206,159,69,4
207,165,73,4
208,170,83,4
208,161,66,4
207,141,86,4
207,162,67,4
208,155,85,4
204,173,73,4
207,145,111,4
206,153,101,4
205,171,77,4
207,159,103,4
207,162,49,4
205,155,79,4
206,168,82,4
206,159,68,4
207,168,90,4
206,164,73,4
206,155,35,4
205,152,66,4
206,161,105,4
206,147,127,4
206,170,82,4
206,172,87,4
204,161,68,4
204,171,51,4
207,160,76,4
207,160,73,4
204,124,70,4
207,152,61,4
204,162,91,4
204,162,91,4
205,133,61,4
204,141,73,4
206,154,71,4
207,162,126,4
207,165,89,4
205,156,63,4
207,138,63,4
205,162,67,4
204,160,75,4
204,148,101,4
206,164,107,4
206,159,95,4
207,161,72,4
204,151,90,4
207,155,94,4
204,167,52,4
204,159,98,4
205,171,77,4
207,131,68,4
207,150,72,4
205,168,70,4
205,164,65,4
206,167,67,4
204,180,114,4
207,158,20,4
206,160,103,4
206,164,55,4
206,165,112,4
207,144,22,4
205,160,59,4
204,165,87,4
205,169,43,4
205,173,97,4
206,169,82,4
