r_value,g_value,b_value,label
208,161,88,3
212,165,107,3
211,161,94,3
210,148,86,3
210,163,63,3
208,149,93,3
211,169,107,3
210,159,72,3
209,161,68,3
212,162,97,3
212,173,109,3
208,127,88,3
208,160,76,3
208,164,110,3
209,159,68,3
208,171,92,3
212,120,64,3
210,120,65,3
209,160,90,3
209,166,102,3
211,155,94,3
212,164,106,3
210,168,95,3
212,153,90,3
208,171,119,3
211,171,91,3
208,162,93,3
208,176,98,3
211,156,87,3
208,154,89,3
211,159,55,3
211,156,41,3
209,164,103,3
208,159,58,3
209,166,127,3
211,161,77,3
212,166,121,3
212,158,49,3
208,150,108,3
212,149,17,3
209,161,103,3
212,170,88,3
212,164,82,3
212,164,96,3
209,145,36,3
208,166,117,3
209,163,76,3
208,155,29,3
211,170,60,3
212,158,108,3
211,155,113,3
209,154,32,3
209,161,81,3
212,151,18,3
209,153,12,3
212,154,11,3
211,157,71,3
208,171,92,3
209,168,48,3
208,169,46,3
209,156,37,3
211,164,106,3
208,151,36,3
210,168,90,3
208,165,85,3
212,165,46,3
210,163,88,3
211,162,76,3
209,156,109,3
209,180,107,3
212,154,100,3
211,167,82,3
210,161,109,3
210,151,98,3
209,123,69,3
212,163,61,3
211,157,79,3
210,156,82,3
210,153,64,3
209,148,58,3
212,165,86,3
212,165,76,3
212,152,12,3
212,164,70,3
212,123,61,3
212,162,76,3
209,153,85,3
211,129,58,3
212,153,93,3
209,170,107,3
212,174,132,3
212,158,60,3
209,157,74,3
211,170,89,3
212,125,85,3
209,140,111,3
209,135,90,3
210,160,103,3
210,163,100,3
211,152,103,3
209,137,82,3
212,148,109,3
209,173,110,3
211,156,41,3
209,145,31,3
209,170,121,3
212,139,67,3
212,162,52,3
210,153,44,3
212,153,103,3
211,161,70,3
210,163,73,3
212,161,20,3
209,152,113,3
209,162,86,3
210,159,78,3
209,155,66,3
210,158,116,3
212,146,11,3
212,159,111,3
212,161,69,3
209,159,42,3
209,159,39,3
212,148,104,3
209,157,78,3
210,155,8,3
210,165,84,3
212,162,27,3
211,166,90,3
209,148,92,3
212,143,63,3
212,159,62,3
210,122,62,3
209,155,74,3
210,165,52,3
211,156,87,3
212,171,85,3
210,139,77,3
209,160,93,3
209,122,65,3
210,141,74,3
209,132,72,3
210,168,46,3
210,165,98,3
210,172,100,3
212,166,80,3
208,153,67,3
211,167,86,3
209,164,83,3
211,158,108,3
209,135,76,3
209,128,60,3
211,158,101,3
210,170,103,3
212,160,98,3
212,159,75,3
210,155,46,3
212,164,50,3
212,160,64,3
212,155,69,3
210,139,98,3
212,157,100,3
211,159,90,3
210,125,69,3
210,157,49,3
