r_value,g_value,b_value,label
174,95,76,6
181,155,91,6
192,186,139,6
186,161,102,6
179,155,97,6
191,93,67,6
175,153,113,6
191,149,73,6
188,113,64,6
194,153,17,6
189,157,15,6
196,172,84,6
193,158,11,6
196,111,62,6
196,175,70,6
190,116,65,6
194,118,66,6
191,172,73,6
188,162,69,6
196,171,78,6
194,128,63,6
173,123,62,6
188,154,35,6
196,178,58,6
192,165,111,6
192,181,66,6
187,175,75,6
193,145,56,6
187,91,67,6
195,168,82,6
188,161,100,6
193,169,69,6
188,113,64,6
195,165,110,6
196,161,11,6
174,95,77,6
179,98,81,6
191,171,65,6
195,174,66,6
191,171,91,6
235,180,141,6
193,161,103,6
190,168,107,6
193,160,105,6
191,146,56,6
182,168,47,6
185,154,99,6
195,163,97,6
194,173,69,6
195,170,61,6
190,122,50,6
195,150,15,6
173,117,57,6
193,162,46,6
188,178,43,6
189,116,65,6
195,121,66,6
192,175,120,6
190,172,65,6
196,115,60,6
195,166,116,6
195,170,82,6
176,97,56,6
185,186,77,6
190,177,48,6
194,157,65,6
196,127,59,6
192,155,57,6
186,110,58,6
193,125,55,6
195,121,54,6
192,149,90,6
194,172,62,6
194,173,88,6
196,128,56,6
187,161,69,6
188,154,62,6
196,134,51,6
195,155,8,6
194,165,74,6
190,100,62,6
196,166,20,6
196,166,20,6
188,118,64,6
196,118,67,6
195,171,100,6
195,166,88,6
196,132,75,6
191,126,78,6
192,156,73,6
196,161,67,6
190,151,62,6
191,162,74,6
192,163,30,6
194,161,77,6
193,153,129,6
189,107,68,6
196,167,53,6
193,175,110,6
190,162,102,6
196,172,76,6
185,173,120,6
188,174,62,6
196,172,83,6
194,94,68,6
168,109,66,6
196,176,97,6
190,149,76,6
163,90,64,6
187,146,108,6
194,171,86,6
191,171,87,6
191,166,71,6
196,164,135,6
183,112,59,6
180,128,58,6
196,164,72,6
193,163,65,6
191,148,60,6
196,147,58,6
192,163,30,6
194,161,20,6
181,163,66,6
190,161,37,6
182,123,98,6
194,170,76,6
194,101,64,6
195,142,78,6
195,177,103,6
195,163,102,6
186,116,59,6
189,120,84,6
189,154,84,6
194,132,68,6
183,160,63,6
194,190,135,6
186,166,59,6
180,162,61,6
193,135,76,6
188,179,115,6
189,165,77,6
191,156,40,6
190,147,20,6
175,147,87,6
183,139,64,6
190,173,78,6
194,183,119,6
196,159,23,6
195,157,20,6
189,166,29,6
196,161,26,6
187,163,17,6
195,117,70,6
188,166,28,6
189,118,67,6
187,132,94,6
193,159,69,6
188,154,98,6
187,154,101,6
192,144,114,6
181,169,88,6
195,161,81,6
185,134,76,6
181,150,81,6
179,136,65,6
193,156,51,6
178,148,85,6
189,159,70,6
191,176,117,6
196,158,62,6
191,100,63,6
193,172,123,6
194,173,84,6
188,131,64,6
176,147,84,6
188,130,65,6
191,141,87,6
187,103,69,6
193,107,74,6
193,167,112,6
194,180,110,6
190,171,93,6
187,117,54,6
196,144,74,6
195,127,85,6
196,142,80,6
193,108,62,6
190,145,105,6
196,128,69,6
187,126,97,6
161,94,70,6
191,112,71,6
185,103,68,6
181,100,68,6
190,157,102,6
195,163,103,6
189,171,90,6
189,138,106,6
188,115,73,6
183,134,101,6
188,115,76,6
191,166,112,6
197,137,73,6
197,157,101,6
192,166,50,6
186,162,20,6
196,105,70,6
193,104,71,6
192,163,76,6
196,130,57,6
197,108,70,6
191,161,64,6
181,96,67,6
194,157,74,6
187,150,105,6
176,127,80,6
196,144,116,6
183,163,74,6
192,129,56,6
195,169,96,6
186,140,65,6
189,89,62,6
197,162,102,6
183,174,40,6
186,147,97,6
186,166,45,6
187,151,80,6
190,162,67,6
186,169,40,6
188,168,31,6
175,154,92,6
195,166,31,6
197,104,74,6
197,160,9,6
179,166,50,6
184,125,104,6
196,123,92,6
182,93,68,6
195,141,81,6
195,139,67,6
191,166,88,6
187,154,114,6
191,146,109,6
187,150,97,6
194,150,85,6
195,154,90,6
187,150,90,6
186,139,108,6
194,121,54,6
195,134,95,6
194,142,112,6
193,130,88,6
192,129,86,6
177,112,56,6
190,167,96,6
193,166,73,6
192,95,67,6
193,163,107,6
196,101,75,6
189,132,61,6
197,156,19,6
193,128,86,6
184,142,84,6
191,147,69,6
193,156,51,6
194,161,57,6
190,160,53,6
195,154,32,6
191,116,97,6
173,139,72,6
187,125,61,6
191,166,96,6
191,164,94,6
195,150,116,6
195,136,65,6
186,127,67,6
195,168,132,6
182,162,112,6
195,121,101,6
189,159,96,6
194,159,56,6
144,152,135,6
164,153,141,6
185,117,59,6
197,155,80,6
197,119,95,6
191,112,92,6
197,141,66,6
194,144,74,6
195,128,109,6
177,101,81,6
181,102,73,6
188,129,100,6
186,133,108,6
196,157,123,6
196,121,66,6
163,97,81,6
189,105,80,6
187,122,66,6
186,121,67,6
196,125,66,6
192,165,120,6
195,122,94,6
186,162,20,6
183,99,75,6
194,105,77,6
189,119,60,6
189,123,61,6
180,115,65,6
177,108,86,6
187,107,70,6
193,170,145,6
195,156,115,6
189,168,86,6
191,158,117,6
192,145,101,6
135,97,74,6
159,154,138,6
138,124,108,6
171,133,101,6
179,107,73,6
185,163,117,6
180,152,108,6
196,120,62,6
188,143,101,6
138,138,116,6
196,168,58,6
195,133,65,6
191,156,95,6
188,153,95,6
171,154,95,6
144,155,123,6
178,99,67,6
194,159,80,6
177,91,65,6
170,92,74,6
189,105,71,6
183,163,74,6
186,138,75,6
148,111,79,6
194,136,63,6
196,151,39,6
169,125,60,6
195,176,93,6
193,161,84,6
141,130,120,6
194,171,121,6
193,157,85,6
185,176,99,6
193,162,89,6
190,162,67,6
192,163,22,6
184,158,88,6
195,97,70,6
190,124,92,6
190,113,84,6
196,171,91,6
164,106,80,6
197,159,19,6
197,157,17,6
196,167,93,6
191,151,96,6
196,165,68,6
193,139,111,6
177,133,104,6
166,124,93,6
186,175,102,6
165,122,103,6
187,165,109,6
187,132,106,6
195,136,99,6
184,170,83,6
188,153,100,6
187,144,84,6
191,146,42,6
175,152,127,6
181,163,140,6
191,149,77,6
185,150,123,6
175,94,67,6
190,124,62,6
194,114,58,6
185,137,106,6
190,142,109,6
195,193,172,6
185,167,77,6
181,115,55,6
176,89,66,6
192,101,75,6
188,132,98,6
168,98,73,6
176,157,100,6
196,152,89,6
179,119,61,6
176,141,107,6
197,156,19,6
184,145,90,6
189,137,82,6
189,144,82,6
192,135,69,6
196,150,13,6
195,158,21,6
167,101,82,6
186,104,81,6
160,99,72,6
195,157,78,6
183,178,42,6
179,115,103,6
193,173,84,6
192,174,95,6
187,135,124,6
190,173,93,6
195,132,101,6
190,115,68,6
189,137,102,6
181,174,112,6
191,165,54,6
188,123,77,6
194,158,103,6
196,113,65,6
176,131,106,6
195,162,110,6
188,134,112,6
191,156,94,6
182,155,99,6
185,164,103,6
189,132,82,6
194,128,63,6
157,87,66,6
194,178,117,6
168,88,69,6
185,115,102,6
172,88,71,6
195,166,107,6
190,175,84,6
196,167,79,6
169,120,97,6
188,124,59,6
167,118,98,6
157,85,68,6
161,96,78,6
182,170,81,6
183,117,97,6
169,99,72,6
159,86,65,6
188,162,137,6
196,168,65,6
158,90,61,6
190,154,103,6
196,111,71,6
169,92,67,6
190,171,75,6
166,94,69,6
152,117,95,6
185,168,101,6
188,163,98,6
176,153,130,6
165,142,120,6
185,161,101,6
