r_value,g_value,b_value,label
200,150,110,5
200,172,94,5
202,165,86,5
201,165,70,5
199,160,93,5
197,164,100,5
200,149,109,5
202,161,99,5
198,167,94,5
203,157,45,5
203,161,110,5
198,120,66,5
197,124,65,5
203,183,122,5
200,120,72,5
202,168,64,5
202,169,76,5
199,163,81,5
203,154,73,5
198,166,110,5
197,166,55,5
203,154,64,5
202,163,111,5
203,162,38,5
203,176,114,5
203,178,84,5
203,162,114,5
203,160,60,5
198,174,82,5
203,153,11,5
202,163,39,5
202,172,90,5
202,166,90,5
200,162,75,5
202,181,107,5
202,176,116,5
201,171,56,5
201,168,77,5
203,171,76,5
203,87,61,5
202,98,71,5
202,169,77,5
202,165,85,5
201,163,73,5
200,157,106,5
203,151,94,5
201,172,126,5
198,168,105,5
201,163,81,5
203,167,62,5
198,164,43,5
201,167,72,5
199,115,61,5
198,159,15,5
202,160,14,5
201,164,69,5
201,173,72,5
203,161,113,5
197,159,83,5
198,167,72,5
200,170,91,5
197,151,80,5
203,162,99,5
200,170,65,5
197,156,64,5
200,146,97,5
199,120,68,5
201,166,60,5
203,166,57,5
202,150,62,5
203,166,79,5
202,155,72,5
198,172,122,5
198,132,66,5
199,160,56,5
199,173,91,5
200,162,25,5
201,175,69,5
199,154,15,5
200,125,64,5
199,162,38,5
201,169,51,5
203,170,98,5
201,169,89,5
202,167,79,5
199,96,71,5
200,94,60,5
197,142,97,5
202,142,88,5
197,168,71,5
197,150,137,5
200,175,90,5
203,167,118,5
198,159,99,5
201,167,82,5
203,166,81,5
199,163,81,5
200,156,47,5
197,165,59,5
200,143,89,5
198,168,29,5
198,122,62,5
203,154,10,5
197,166,62,5
198,159,68,5
203,134,64,5
199,162,86,5
201,125,63,5
203,128,59,5
198,158,96,5
203,162,98,5
202,169,107,5
203,172,119,5
198,123,62,5
200,165,90,5
200,160,96,5
200,161,89,5
203,171,114,5
199,126,63,5
201,148,105,5
197,144,98,5
198,155,76,5
203,154,51,5
202,166,77,5
197,151,90,5
198,117,67,5
199,169,97,5
201,167,95,5
200,165,90,5
199,124,81,5
203,163,61,5
199,173,87,5
200,153,16,5
202,161,93,5
200,154,37,5
201,170,91,5
201,180,84,5
199,172,74,5
203,164,59,5
200,162,27,5
202,155,22,5
200,165,63,5
197,122,62,5
197,120,66,5
198,167,83,5
199,171,95,5
198,162,79,5
202,172,57,5
201,99,69,5
202,134,70,5
199,115,63,5
203,160,105,5
201,155,101,5
200,157,71,5
200,117,60,5
198,115,61,5
200,166,117,5
202,159,66,5
197,108,53,5
203,165,89,5
198,138,75,5
199,149,72,5
203,146,51,5
203,140,79,5
202,155,14,5
203,167,89,5
201,141,90,5
202,128,57,5
203,154,11,5
203,113,67,5
203,148,85,5
199,173,90,5
201,133,98,5
202,162,42,5
202,164,48,5
201,158,67,5
201,156,81,5
202,146,75,5
201,169,93,5
200,162,123,5
198,173,85,5
199,164,46,5
200,167,42,5
202,172,71,5
202,148,53,5
201,153,18,5
201,151,14,5
202,157,13,5
198,164,99,5
201,163,66,5
201,162,58,5
199,162,58,5
199,167,41,5
200,155,15,5
200,161,11,5
198,172,76,5
200,125,63,5
200,123,66,5
203,139,97,5
202,101,74,5
201,150,65,5
202,151,10,5
198,148,74,5
199,128,70,5
198,172,88,5
203,174,84,5
202,108,71,5
202,164,76,5
201,120,66,5
203,166,73,5
203,117,59,5
199,161,55,5
202,173,79,5
198,145,54,5
202,161,51,5
197,160,74,5
200,133,61,5
198,151,63,5
201,162,65,5
202,158,103,5
201,156,57,5
198,130,57,5
198,106,62,5
201,162,117,5
201,165,69,5
201,161,68,5
202,159,83,5
200,162,71,5
197,117,58,5
202,117,64,5
200,154,84,5
200,106,68,5
203,167,112,5
203,168,78,5
197,126,66,5
198,170,84,5
202,109,67,5
203,165,73,5
198,152,82,5
201,117,67,5
200,150,65,5
203,119,73,5
202,125,82,5
203,163,51,5
201,171,110,5
199,106,72,5
201,116,66,5
200,164,67,5
197,162,29,5
198,167,31,5
203,173,105,5
202,162,73,5
201,159,34,5
198,164,36,5
200,157,91,5
197,171,68,5
200,155,12,5
202,165,84,5
201,168,75,5
201,172,85,5
202,182,89,5
203,164,67,5
201,174,61,5
200,161,76,5
200,164,79,5
202,173,100,5
201,171,60,5
203,158,84,5
200,167,76,5
199,166,110,5
200,174,105,5
198,97,68,5
203,162,80,5
198,126,74,5
203,165,62,5
199,159,73,5
203,132,84,5
200,147,50,5
202,159,49,5
201,154,79,5
201,159,51,5
202,162,55,5
201,158,65,5
200,165,69,5
201,168,71,5
199,167,72,5
197,150,91,5
201,123,71,5
203,149,111,5
197,162,108,5
198,173,85,5
199,110,78,5
200,129,66,5
201,134,70,5
199,143,103,5
201,158,79,5
199,114,74,5
198,169,79,5
202,163,65,5
198,165,94,5
199,170,57,5
201,171,69,5
202,126,68,5
203,133,64,5
202,136,95,5
200,108,72,5
201,147,79,5
201,156,32,5
203,172,97,5
199,156,104,5
203,165,56,5
202,155,9,5
203,174,60,5
200,167,73,5
202,159,6,5
202,165,75,5
201,159,69,5
202,160,73,5
201,153,97,5
199,168,78,5
202,153,80,5
200,125,80,5
198,168,85,5
203,160,70,5
202,166,91,5
203,160,53,5
200,156,74,5
200,161,80,5
201,144,111,5
198,167,92,5
202,152,67,5
202,161,54,5
200,154,46,5
202,159,27,5
203,133,94,5
203,160,104,5
201,138,72,5
200,153,49,5
199,111,69,5
202,168,75,5
201,145,118,5
201,150,63,5
203,155,71,5
199,125,68,5
203,158,118,5
202,160,25,5
202,117,70,5
203,118,75,5
202,162,71,5
203,162,69,5
202,165,68,5
199,116,76,5
200,159,53,5
201,112,73,5
201,159,66,5
199,168,83,5
203,157,61,5
197,159,65,5
200,170,79,5
198,170,97,5
199,147,96,5
198,159,32,5
200,170,81,5
199,157,102,5
203,156,15,5
200,170,87,5
199,167,122,5
200,108,77,5
198,174,88,5
198,167,74,5
