r_value,g_value,b_value,label
180,128,58,7
199,161,55,7
196,164,72,7
198,145,54,7
193,163,65,7
191,148,60,7
212,164,112,7
221,158,99,7
212,146,86,7
229,147,92,7
230,142,64,7
212,173,86,7
196,147,58,7
210,165,62,7
224,141,69,7
222,145,71,7
202,161,51,7
197,160,74,7
225,149,110,7
192,163,30,7
194,161,20,7
181,163,66,7
190,161,37,7
213,170,115,7
215,164,67,7
213,162,96,7
214,158,61,7
200,133,61,7
211,154,32,7
198,151,63,7
215,168,93,7
222,175,108,7
205,162,97,7
201,162,65,7
194,170,76,7
218,120,75,7
202,158,103,7
211,127,83,7
214,119,52,7
220,150,119,7
206,135,73,7
221,156,50,7
201,156,57,7
210,134,59,7
198,130,57,7
217,156,88,7
216,136,68,7
212,156,91,7
194,101,64,7
198,106,62,7
213,105,67,7
201,161,68,7
202,159,83,7
216,137,93,7
219,152,92,7
221,147,84,7
212,116,75,7
208,120,60,7
195,142,78,7
200,162,71,7
208,125,65,7
197,117,58,7
202,117,64,7
232,147,45,7
213,157,76,7
195,177,103,7
200,154,84,7
200,106,68,7
218,135,64,7
211,107,63,7
205,155,87,7
216,164,72,7
209,174,104,7
195,163,102,7
209,179,112,7
224,166,85,7
214,155,68,7
206,182,103,7
214,157,73,7
221,141,70,7
203,167,112,7
215,140,92,7
203,168,78,7
205,170,77,7
214,165,72,7
197,126,66,7
227,166,99,7
202,109,67,7
211,135,60,7
211,122,71,7
203,165,73,7
219,132,58,7
212,132,62,7
205,168,94,7
210,166,85,7
212,157,79,7
213,152,66,7
225,166,85,7
225,165,81,7
223,163,84,7
224,163,73,7
216,158,70,7
213,139,102,7
211,162,102,7
206,159,64,7
223,154,31,7
186,116,59,7
205,158,82,7
198,152,82,7
216,150,73,7
235,145,46,7
201,117,67,7
225,140,64,7
207,164,85,7
200,150,65,7
210,143,109,7
189,120,84,7
203,119,73,7
208,146,80,7
204,130,64,7
209,136,67,7
230,150,80,7
210,164,102,7
189,154,84,7
202,125,82,7
215,152,71,7
212,154,77,7
218,142,105,7
204,139,102,7
204,162,67,7
203,163,51,7
194,132,68,7
207,149,67,7
205,149,68,7
209,150,68,7
201,171,110,7
210,167,97,7
211,156,88,7
217,154,97,7
183,160,63,7
219,156,19,7
213,148,77,7
199,106,72,7
205,158,50,7
215,159,43,7
200,164,67,7
215,162,111,7
207,163,65,7
205,161,21,7
197,162,29,7
209,159,52,7
212,145,26,7
211,157,58,7
211,164,72,7
210,168,109,7
208,165,104,7
215,152,85,7
216,163,53,7
198,167,31,7
206,158,86,7
212,153,85,7
186,166,59,7
214,156,15,7
180,162,61,7
214,154,19,7
206,141,34,7
209,150,48,7
193,135,76,7
218,169,116,7
188,179,115,7
207,159,20,7
213,149,110,7
207,143,109,7
203,173,105,7
202,162,73,7
209,166,69,7
189,165,77,7
205,159,27,7
201,159,34,7
205,165,74,7
191,156,40,7
190,147,20,7
198,164,36,7
175,147,87,7
183,139,64,7
200,157,91,7
215,158,91,7
217,155,80,7
211,157,88,7
207,143,55,7
197,171,68,7
190,173,78,7
205,167,47,7
204,154,28,7
216,157,98,7
196,159,23,7
195,157,20,7
200,155,12,7
205,154,10,7
189,166,29,7
215,137,81,7
201,168,75,7
217,148,92,7
219,119,84,7
211,163,55,7
201,172,85,7
211,153,96,7
202,182,89,7
212,166,50,7
196,161,26,7
187,163,17,7
210,154,5,7
195,117,70,7
188,166,28,7
209,165,72,7
210,167,74,7
212,162,61,7
219,155,41,7
224,148,82,7
223,170,117,7
217,156,100,7
221,164,109,7
221,166,108,7
222,165,67,7
210,150,109,7
208,167,63,7
203,164,67,7
205,174,84,7
189,118,67,7
207,138,70,7
187,132,94,7
229,168,117,7
204,168,86,7
207,162,98,7
217,116,72,7
210,172,67,7
217,111,68,7
220,117,70,7
201,174,61,7
210,165,43,7
200,161,76,7
211,164,36,7
206,156,121,7
214,165,128,7
214,170,135,7
208,170,139,7
219,161,80,7
200,164,79,7
208,166,94,7
202,173,100,7
204,153,86,7
222,156,43,7
212,159,94,7
212,148,82,7
208,165,37,7
205,169,67,7
209,168,42,7
201,171,60,7
216,149,56,7
193,159,69,7
206,150,74,7
214,155,66,7
212,152,131,7
203,158,84,7
199,166,110,7
200,174,105,7
217,155,69,7
213,164,104,7
198,97,68,7
204,181,120,7
203,162,80,7
187,154,101,7
225,158,58,7
192,144,114,7
206,120,63,7
220,131,63,7
204,124,69,7
198,126,74,7
210,173,93,7
204,124,57,7
209,159,76,7
212,153,44,7
204,127,56,7
181,169,88,7
205,167,106,7
211,102,63,7
222,110,68,7
210,137,105,7
216,141,69,7
204,119,62,7
218,135,63,7
209,164,79,7
217,138,100,7
215,151,110,7
207,148,116,7
208,159,56,7
203,165,62,7
219,159,99,7
199,159,73,7
195,161,81,7
204,131,58,7
220,143,28,7
214,147,50,7
203,132,84,7
185,134,76,7
200,147,50,7
