r_value,g_value,b_value,label
204,156,38,6
208,164,50,6
191,126,78,6
192,156,73,6
218,168,66,6
203,146,51,6
190,151,62,6
203,140,79,6
225,150,69,6
219,158,100,6
219,152,93,6
216,126,64,6
220,157,74,6
212,141,89,6
214,120,73,6
221,123,72,6
191,162,74,6
211,161,36,6
218,144,83,6
207,155,7,6
202,155,14,6
192,163,30,6
222,179,118,6
209,168,114,6
208,131,72,6
213,147,91,6
212,159,76,6
217,161,80,6
207,161,84,6
218,157,26,6
223,157,82,6
205,159,54,6
214,176,119,6
209,166,69,6
214,155,35,6
205,162,104,6
208,165,63,6
220,171,119,6
206,123,84,6
204,110,67,6
203,167,89,6
212,155,20,6
206,155,63,6
215,132,56,6
205,166,93,6
216,150,85,6
221,140,69,6
221,152,86,6
201,141,90,6
216,159,90,6
212,162,101,6
214,172,101,6
208,164,102,6
220,150,13,6
215,156,98,6
205,154,67,6
204,163,84,6
210,171,80,6
224,160,110,6
210,154,100,6
217,148,89,6
212,162,100,6
212,111,66,6
205,160,76,6
202,128,57,6
194,161,77,6
210,167,90,6
222,161,89,6
204,162,77,6
216,157,80,6
203,113,67,6
207,153,79,6
208,159,97,6
203,148,85,6
204,123,66,6
217,155,62,6
225,152,45,6
206,156,72,6
223,175,92,6
214,163,65,6
216,161,89,6
219,162,84,6
204,160,96,6
193,153,129,6
215,174,117,6
217,167,74,6
199,173,90,6
206,171,81,6
219,157,95,6
201,133,98,6
214,155,97,6
189,107,68,6
234,157,75,6
222,132,57,6
213,134,80,6
207,130,62,6
220,150,24,6
211,173,92,6
226,157,50,6
219,161,95,6
216,162,91,6
210,149,124,6
216,171,92,6
225,162,86,6
222,164,88,6
224,155,87,6
220,165,99,6
213,167,109,6
202,162,42,6
202,164,48,6
212,155,25,6
221,151,34,6
212,153,96,6
211,157,100,6
215,162,100,6
207,145,62,6
223,148,46,6
219,155,54,6
213,165,73,6
201,158,67,6
211,164,76,6
207,132,67,6
216,149,70,6
211,159,45,6
209,158,50,6
225,159,106,6
206,159,111,6
228,155,109,6
209,152,98,6
209,158,73,6
214,153,58,6
205,156,70,6
201,156,81,6
207,167,54,6
196,167,53,6
214,158,46,6
205,167,88,6
202,146,75,6
213,149,64,6
218,151,10,6
212,123,72,6
217,158,69,6
221,159,101,6
210,148,85,6
221,150,22,6
201,169,93,6
211,160,53,6
207,162,63,6
206,142,108,6
205,159,45,6
219,154,9,6
216,157,12,6
217,159,16,6
198,173,85,6
210,158,51,6
212,163,60,6
216,154,91,6
217,149,87,6
210,158,21,6
217,163,91,6
218,154,57,6
208,159,91,6
227,143,58,6
218,158,23,6
199,164,46,6
207,162,36,6
223,143,22,6
207,141,35,6
219,160,111,6
208,138,32,6
207,159,17,6
206,141,34,6
205,167,98,6
193,175,110,6
200,167,42,6
211,167,49,6
202,172,71,6
216,156,18,6
214,154,13,6
202,148,53,6
201,153,18,6
201,151,14,6
212,164,29,6
202,157,13,6
198,164,99,6
220,151,86,6
213,156,91,6
190,162,102,6
211,159,41,6
204,143,57,6
205,124,77,6
201,163,66,6
199,162,58,6
205,155,17,6
217,157,20,6
199,167,41,6
207,167,43,6
200,155,15,6
200,161,11,6
207,157,10,6
206,121,83,6
207,161,88,6
213,138,107,6
217,117,84,6
222,140,78,6
215,163,39,6
220,151,93,6
196,172,76,6
205,170,61,6
204,155,20,6
188,174,62,6
211,157,15,6
214,165,81,6
224,158,43,6
221,161,53,6
218,155,104,6
227,159,100,6
218,170,117,6
217,156,100,6
196,172,83,6
204,168,65,6
198,172,76,6
200,125,63,6
204,115,70,6
205,162,96,6
200,123,66,6
203,139,97,6
209,148,86,6
214,162,73,6
221,158,52,6
217,164,74,6
194,94,68,6
202,101,74,6
217,139,62,6
219,115,71,6
217,148,87,6
205,165,63,6
204,130,56,6
168,109,66,6
201,150,65,6
215,163,91,6
213,159,62,6
215,164,75,6
196,176,97,6
198,148,74,6
207,159,92,6
206,161,97,6
199,128,70,6
208,167,85,6
211,166,77,6
198,172,88,6
218,144,71,6
203,174,84,6
190,149,76,6
207,149,55,6
216,139,44,6
227,161,56,6
206,171,92,6
207,134,69,6
202,108,71,6
163,90,64,6
212,112,67,6
205,115,76,6
206,141,83,6
206,115,80,6
208,164,75,6
210,133,65,6
211,164,79,6
187,146,108,6
205,121,62,6
220,134,75,6
202,164,76,6
201,120,66,6
194,171,86,6
207,169,91,6
210,181,113,6
220,158,60,6
206,169,87,6
205,169,100,6
218,169,94,6
218,168,77,6
208,120,78,6
221,117,71,6
222,170,75,6
203,166,73,6
212,106,74,6
226,152,92,6
225,144,29,6
203,117,59,6
206,119,58,6
216,148,71,6
212,159,63,6
216,167,96,6
210,167,67,6
210,170,114,6
191,171,87,6
206,165,70,6
210,128,92,6
208,134,100,6
208,162,87,6
212,163,80,6
222,164,84,6
207,157,87,6
221,127,59,6
226,145,26,6
183,112,59,6
