r_value,g_value,b_value,label
200,156,47,5
197,165,59,5
209,164,83,5
217,154,106,5
218,155,21,5
211,158,108,5
207,148,91,5
176,97,56,5
216,131,67,5
208,144,90,5
200,143,89,5
228,161,98,5
185,186,77,5
208,165,87,5
198,168,29,5
203,154,10,5
197,166,62,5
198,159,68,5
190,177,48,5
209,135,76,5
216,128,60,5
203,134,64,5
209,128,60,5
227,154,63,5
206,169,99,5
199,162,86,5
208,163,98,5
217,148,79,5
208,148,43,5
194,157,65,5
205,160,57,5
196,127,59,5
206,180,123,5
220,182,116,5
206,136,69,5
211,158,101,5
207,129,61,5
206,167,93,5
201,125,63,5
214,158,97,5
221,162,101,5
192,155,57,5
221,116,74,5
216,159,94,5
206,166,113,5
210,170,103,5
212,160,98,5
193,125,55,5
195,121,54,5
212,159,75,5
203,128,59,5
216,140,88,5
223,153,94,5
210,155,46,5
207,158,104,5
213,165,107,5
208,165,107,5
216,155,100,5
206,170,110,5
212,160,64,5
217,159,68,5
212,155,69,5
215,153,87,5
215,152,80,5
214,138,60,5
210,139,98,5
212,157,100,5
216,161,101,5
207,161,52,5
213,168,111,5
198,158,96,5
222,157,54,5
211,159,90,5
210,125,69,5
221,150,48,5
203,162,98,5
221,163,99,5
216,137,63,5
215,133,100,5
210,157,49,5
202,169,107,5
214,157,97,5
211,168,112,5
207,166,88,5
200,165,90,5
222,155,69,5
217,141,77,5
220,150,100,5
218,161,106,5
213,148,108,5
213,159,44,5
223,155,82,5
228,163,108,5
200,160,96,5
222,148,76,5
220,138,61,5
200,161,89,5
209,174,91,5
206,160,100,5
220,163,101,5
219,163,99,5
213,129,62,5
218,147,107,5
216,163,103,5
216,173,112,5
208,165,99,5
220,169,99,5
203,171,114,5
199,126,63,5
205,165,56,5
214,182,134,5
201,148,105,5
219,151,98,5
219,142,88,5
197,144,98,5
212,140,102,5
204,164,75,5
206,127,70,5
208,136,64,5
216,149,46,5
210,163,40,5
213,158,112,5
205,161,107,5
198,155,76,5
203,154,51,5
202,166,77,5
214,159,73,5
206,154,16,5
192,149,90,5
198,117,67,5
211,161,42,5
206,168,68,5
210,167,63,5
199,169,97,5
201,167,95,5
204,155,44,5
213,147,45,5
211,151,55,5
219,151,87,5
208,154,23,5
208,163,32,5
212,163,107,5
221,164,107,5
214,152,98,5
223,152,29,5
210,166,78,5
214,161,73,5
206,169,76,5
210,156,16,5
217,186,123,5
211,157,49,5
225,150,89,5
210,158,101,5
205,163,102,5
212,157,90,5
207,164,96,5
209,172,101,5
225,159,90,5
194,172,62,5
210,166,46,5
218,155,19,5
217,148,40,5
217,148,39,5
200,165,90,5
222,139,26,5
220,164,108,5
219,160,102,5
199,124,81,5
207,158,88,5
194,173,88,5
208,163,31,5
196,128,56,5
205,171,78,5
212,162,30,5
187,161,69,5
203,163,61,5
215,157,30,5
188,154,62,5
199,173,87,5
214,161,82,5
200,153,16,5
208,184,115,5
208,163,30,5
217,154,91,5
206,168,90,5
202,161,93,5
214,163,46,5
206,164,68,5
196,134,51,5
200,154,37,5
217,155,75,5
207,157,20,5
207,149,12,5
207,149,11,5
216,157,112,5
195,155,8,5
201,180,84,5
190,100,62,5
218,121,70,5
226,128,91,5
199,172,74,5
221,131,98,5
210,164,42,5
203,164,59,5
210,166,49,5
200,162,27,5
212,156,114,5
202,155,22,5
196,166,20,5
196,166,20,5
208,174,95,5
209,173,100,5
212,113,72,5
223,162,109,5
226,161,105,5
226,155,99,5
208,174,85,5
200,165,63,5
215,145,80,5
197,122,62,5
197,120,66,5
188,118,64,5
212,162,74,5
215,159,43,5
223,112,71,5
213,163,77,5
215,163,98,5
217,172,107,5
220,170,100,5
216,102,58,5
220,152,36,5
212,176,88,5
204,162,61,5
207,153,60,5
222,155,46,5
216,162,74,5
215,153,46,5
205,155,56,5
215,168,88,5
204,170,83,5
198,167,83,5
211,174,84,5
199,171,95,5
207,152,92,5
215,164,101,5
215,153,91,5
211,169,53,5
210,165,79,5
202,172,57,5
205,164,87,5
214,157,49,5
211,126,64,5
209,159,50,5
219,151,41,5
211,150,48,5
216,142,68,5
211,165,83,5
201,99,69,5
217,105,64,5
215,165,77,5
202,134,70,5
214,132,63,5
199,115,63,5
211,163,80,5
210,164,82,5
196,118,67,5
218,140,66,5
204,120,66,5
203,160,105,5
201,155,101,5
211,167,85,5
212,165,82,5
200,157,71,5
208,127,65,5
226,145,57,5
208,169,93,5
223,164,77,5
217,153,95,5
219,135,79,5
214,146,45,5
206,146,51,5
208,139,67,5
200,117,60,5
214,158,29,5
198,115,61,5
208,133,57,5
217,160,74,5
200,166,117,5
213,165,114,5
212,168,115,5
208,166,116,5
197,108,53,5
207,119,63,5
203,165,89,5
195,171,100,5
195,166,88,5
218,155,21,5
211,153,49,5
224,147,34,5
223,147,35,5
207,152,40,5
198,138,75,5
196,132,75,5
206,141,74,5
199,149,72,5
211,165,116,5
