r_value,g_value,b_value,label
202,133,59,2
207,163,77,2
203,168,62,2
219,162,92,2
211,165,83,2
216,122,62,2
214,160,83,2
191,156,94,2
182,155,99,2
185,164,103,2
204,155,59,2
202,146,16,2
204,164,14,2
205,169,83,2
212,161,18,2
215,124,76,2
213,163,70,2
201,163,95,2
220,172,118,2
221,154,97,2
227,153,87,2
204,141,72,2
194,128,63,2
200,132,62,2
213,120,80,2
157,87,66,2
217,171,111,2
217,150,56,2
208,159,74,2
200,167,50,2
204,153,79,2
202,165,88,2
194,178,117,2
203,171,110,2
217,121,81,2
211,165,83,2
220,166,97,2
201,163,75,2
212,157,62,2
168,88,69,2
185,115,102,2
213,163,74,2
172,88,71,2
195,166,107,2
190,175,84,2
222,171,116,2
217,102,61,2
212,151,28,2
196,167,79,2
220,153,25,2
197,169,80,2
169,120,97,2
167,118,98,2
206,169,96,2
157,85,68,2
161,96,78,2
221,162,102,2
182,170,81,2
221,163,103,2
216,170,105,2
218,166,111,2
211,165,86,2
211,153,22,2
183,117,97,2
169,99,72,2
204,139,91,2
159,86,65,2
188,162,137,2
196,168,65,2
220,161,111,2
212,153,89,2
203,127,83,2
222,147,57,2
219,168,90,2
226,155,35,2
225,149,52,2
158,90,61,2
196,111,71,2
169,92,67,2
190,171,75,2
166,94,69,2
152,117,95,2
217,157,98,2
215,159,101,2
229,171,120,2
201,174,86,2
221,149,77,2
185,168,101,2
188,163,98,2
204,142,57,2
204,161,41,2
176,153,130,2
165,142,120,2
225,157,66,2
214,165,91,2
222,157,55,2
222,154,63,2
212,167,87,2
215,166,80,2
204,173,73,2
220,162,69,2
211,135,88,2
207,145,111,2
185,161,101,2
186,161,102,2
179,155,97,2
191,93,67,2
219,161,67,2
214,175,109,2
220,170,65,2
225,165,90,2
219,152,29,2
214,163,94,2
216,152,112,2
197,121,65,2
209,153,112,2
202,164,64,2
212,164,113,2
211,163,115,2
211,164,103,2
213,169,122,2
210,167,65,2
206,153,101,2
175,153,113,2
217,161,65,2
205,171,77,2
212,141,66,2
217,143,59,2
223,147,23,2
216,141,75,2
209,163,68,2
213,146,105,2
215,150,109,2
191,149,73,2
214,146,107,2
217,161,65,2
211,164,87,2
188,113,64,2
207,162,49,2
205,155,79,2
210,161,68,2
223,151,20,2
221,152,22,2
213,157,83,2
214,163,93,2
206,168,82,2
198,164,88,2
215,153,49,2
206,159,68,2
202,164,75,2
222,154,37,2
212,164,31,2
213,155,38,2
210,163,98,2
203,168,104,2
207,168,90,2
209,158,106,2
212,170,86,2
206,164,73,2
213,119,70,2
199,154,66,2
206,155,35,2
211,157,58,2
201,148,59,2
214,154,74,2
211,165,55,2
215,154,76,2
212,164,109,2
219,160,47,2
203,174,102,2
200,158,71,2
214,164,57,2
209,164,62,2
228,151,26,2
228,153,51,2
205,152,66,2
216,150,14,2
194,153,17,2
189,157,15,2
216,160,108,2
214,158,102,2
199,160,92,2
199,162,119,2
206,161,105,2
200,160,64,2
221,152,31,2
223,156,46,2
215,149,16,2
196,172,84,2
214,164,66,2
216,149,99,2
211,177,47,2
197,171,62,2
198,152,7,2
206,147,127,2
193,158,11,2
222,159,110,2
221,154,101,2
206,172,87,2
214,168,77,2
201,165,59,2
217,161,110,2
218,171,68,2
204,161,68,2
210,160,70,2
203,163,60,2
200,155,112,2
217,161,68,2
217,161,68,2
200,169,97,2
212,164,72,2
220,155,101,2
202,170,59,2
222,169,116,2
196,175,70,2
204,171,51,2
200,171,55,2
222,158,21,2
223,162,89,2
190,116,65,2
223,147,26,2
194,118,66,2
227,152,41,2
201,172,61,2
201,167,52,2
202,161,101,2
214,162,64,2
219,157,111,2
219,166,118,2
211,168,111,2
200,172,59,2
191,172,73,2
198,165,56,2
215,163,73,2
212,160,75,2
188,162,69,2
222,160,63,2
223,162,65,2
202,166,89,2
202,166,89,2
209,167,36,2
209,170,104,2
216,166,79,2
212,166,113,2
215,157,105,2
221,100,68,2
215,146,93,2
218,161,69,2
202,172,84,2
196,171,78,2
225,159,36,2
208,121,63,2
207,160,76,2
207,160,73,2
210,165,70,2
219,153,51,2
219,153,51,2
194,128,63,2
203,173,100,2
213,151,69,2
223,149,97,2
213,158,106,2
201,113,60,2
215,152,101,2
217,107,78,2
224,163,93,2
208,166,98,2
203,119,68,2
204,124,70,2
217,134,71,2
217,130,70,2
207,152,61,2
204,162,91,2
198,164,78,2
204,162,91,2
173,123,62,2
228,123,50,2
227,150,64,2
218,153,76,2
215,158,79,2
226,162,112,2
213,164,115,2
202,149,74,2
225,153,50,2
228,149,73,2
201,163,87,2
205,133,61,2
224,149,24,2
202,183,140,2
217,164,90,2
225,166,109,2
218,157,106,2
223,165,115,2
212,162,98,2
233,137,73,2
219,166,57,2
215,160,69,2
211,159,89,2
188,154,35,2
219,161,69,2
209,158,84,2
199,125,66,2
210,159,117,2
225,159,116,2
223,163,120,2
221,162,116,2
