r_value,g_value,b_value,label
193,156,51,9
202,161,54,9
211,156,117,9
221,147,77,9
194,161,57,9
212,118,76,9
200,154,46,9
190,160,53,9
202,159,27,9
195,154,32,9
204,151,102,9
207,140,85,9
207,144,94,9
213,119,86,9
216,166,79,9
212,148,2,9
204,162,65,9
173,139,72,9
187,125,61,9
191,166,96,9
191,164,94,9
210,147,48,9
195,150,116,9
195,136,65,9
216,162,60,9
201,138,72,9
186,127,67,9
195,168,132,9
206,115,84,9
182,162,112,9
218,126,99,9
195,121,101,9
194,159,56,9
212,149,71,9
200,153,49,9
144,152,135,9
204,155,79,9
217,145,103,9
210,113,65,9
199,111,69,9
206,144,96,9
164,153,141,9
202,168,75,9
205,123,56,9
185,117,59,9
205,133,61,9
197,155,80,9
217,159,132,9
214,181,167,9
201,145,118,9
197,119,95,9
191,112,92,9
205,157,72,9
208,125,96,9
201,150,63,9
211,147,71,9
197,141,66,9
203,155,71,9
210,148,70,9
210,148,70,9
194,144,74,9
195,128,109,9
204,116,80,9
181,102,73,9
188,129,100,9
206,127,95,9
186,133,108,9
205,161,62,9
196,157,123,9
199,125,68,9
196,121,66,9
220,163,80,9
220,163,80,9
219,151,86,9
163,97,81,9
203,158,118,9
204,129,86,9
189,105,80,9
209,154,123,9
221,196,172,9
187,122,66,9
186,121,67,9
196,125,66,9
214,145,2,9
220,149,81,9
220,149,81,9
222,151,111,9
195,122,94,9
205,127,91,9
186,162,20,9
207,182,159,9
183,99,75,9
194,105,77,9
208,156,56,9
189,119,60,9
189,123,61,9
180,115,65,9
220,160,75,9
228,118,47,9
177,108,86,9
187,107,70,9
193,170,145,9
202,160,25,9
221,126,79,9
203,118,75,9
214,118,81,9
189,168,86,9
208,162,33,9
216,156,39,9
191,158,117,9
192,145,101,9
135,97,74,9
159,154,138,9
202,162,71,9
138,124,108,9
203,162,69,9
171,133,101,9
179,107,73,9
210,142,64,9
202,165,68,9
206,140,68,9
185,163,117,9
180,152,108,9
188,143,101,9
207,170,93,9
138,138,116,9
199,116,76,9
204,160,57,9
214,147,91,9
200,159,53,9
196,168,58,9
195,133,65,9
206,142,70,9
191,156,95,9
188,153,95,9
207,170,93,9
171,154,95,9
144,155,123,9
178,99,67,9
212,150,23,9
194,159,80,9
189,105,71,9
201,112,73,9
204,108,69,9
224,148,19,9
201,159,66,9
199,168,83,9
203,157,61,9
213,174,88,9
223,156,80,9
211,166,108,9
206,138,67,9
216,154,92,9
208,156,23,9
208,155,22,9
205,154,23,9
208,147,82,9
216,137,65,9
183,163,74,9
186,138,75,9
206,145,51,9
210,162,112,9
148,111,79,9
200,170,79,9
205,169,95,9
194,136,63,9
196,151,39,9
169,125,60,9
216,121,81,9
195,176,93,9
205,156,24,9
198,170,97,9
193,161,84,9
206,147,101,9
141,130,120,9
193,157,85,9
206,165,57,9
185,176,99,9
193,162,89,9
199,147,96,9
190,162,67,9
212,158,14,9
210,155,19,9
198,159,32,9
192,163,22,9
217,166,41,9
184,158,88,9
200,170,81,9
195,97,70,9
190,124,92,9
214,128,90,9
190,113,84,9
196,171,91,9
199,157,102,9
205,158,25,9
197,159,19,9
203,156,15,9
197,157,17,9
200,170,87,9
196,167,93,9
214,151,50,9
207,147,98,9
218,121,83,9
199,167,122,9
200,108,77,9
208,111,80,9
191,151,96,9
198,167,74,9
205,170,75,9
196,165,68,9
202,141,98,9
193,139,111,9
206,157,44,9
177,133,104,9
166,124,93,9
186,175,102,9
209,170,90,9
212,157,68,9
165,122,103,9
203,160,66,9
213,143,89,9
187,132,106,9
223,119,74,9
195,136,99,9
219,156,24,9
203,102,70,9
184,170,83,9
188,153,100,9
199,159,72,9
187,144,84,9
214,153,114,9
191,146,42,9
198,166,138,9
175,152,127,9
181,163,140,9
208,141,103,9
201,168,134,9
214,152,50,9
202,170,86,9
213,149,91,9
202,138,100,9
211,162,113,9
204,153,105,9
191,149,77,9
185,150,123,9
213,153,63,9
199,167,95,9
200,170,85,9
190,124,62,9
199,166,106,9
202,146,94,9
213,162,67,9
215,149,96,9
201,163,119,9
202,148,72,9
206,159,69,9
194,114,58,9
200,119,61,9
185,137,106,9
207,165,73,9
190,142,109,9
195,193,172,9
202,156,79,9
198,187,166,9
204,165,88,9
208,170,83,9
203,171,88,9
185,167,77,9
203,121,61,9
198,136,56,9
209,103,68,9
216,165,77,9
210,115,77,9
181,115,55,9
176,89,66,9
192,101,75,9
188,132,98,9
176,157,100,9
201,152,114,9
201,152,114,9
201,171,106,9
208,161,66,9
219,148,42,9
196,152,89,9
220,174,123,9
179,119,61,9
207,141,86,9
220,161,103,9
220,119,77,9
207,162,67,9
212,160,45,9
202,138,65,9
208,155,85,9
199,162,126,9
176,141,107,9
209,157,106,9
197,156,19,9
184,145,90,9
189,137,82,9
189,144,82,9
203,151,67,9
218,111,61,9
221,142,82,9
226,153,98,9
217,134,58,9
192,135,69,9
