r_value,g_value,b_value,label
202,159,49,8
201,159,51,8
224,178,126,8
225,138,88,8
181,150,81,8
212,151,102,8
202,162,55,8
201,158,65,8
200,165,69,8
218,146,21,8
225,151,72,8
215,147,80,8
226,151,63,8
211,165,121,8
217,138,61,8
179,136,65,8
193,156,51,8
178,148,85,8
189,159,70,8
196,158,62,8
191,100,63,8
193,172,123,8
204,154,109,8
201,168,71,8
194,173,84,8
199,167,72,8
188,131,64,8
204,164,59,8
230,168,80,8
176,147,84,8
231,179,102,8
211,164,83,8
224,171,93,8
188,130,65,8
191,141,87,8
187,103,69,8
197,150,91,8
207,143,87,8
193,107,74,8
207,175,137,8
207,166,67,8
194,180,110,8
190,171,93,8
209,149,33,8
209,151,80,8
224,111,61,8
213,153,61,8
210,155,80,8
218,155,76,8
207,147,73,8
206,109,72,8
228,158,45,8
205,154,60,8
224,171,102,8
187,117,54,8
207,154,54,8
209,153,83,8
219,157,26,8
217,120,66,8
196,144,74,8
224,131,81,8
195,127,85,8
217,160,71,8
204,160,95,8
201,123,71,8
207,175,104,8
213,155,75,8
208,144,72,8
204,162,40,8
214,123,64,8
207,156,77,8
196,142,80,8
193,108,62,8
211,178,111,8
204,173,107,8
208,165,81,8
226,158,68,8
204,133,102,8
219,164,91,8
203,149,111,8
197,162,108,8
199,110,78,8
190,145,105,8
200,129,66,8
196,128,69,8
201,134,70,8
231,151,60,8
230,166,86,8
208,152,83,8
187,126,97,8
199,143,103,8
191,112,71,8
185,103,68,8
181,100,68,8
204,113,69,8
201,158,79,8
205,145,64,8
212,153,69,8
207,151,68,8
226,169,81,8
223,166,73,8
204,160,116,8
208,138,103,8
218,158,70,8
207,158,100,8
190,157,102,8
195,163,103,8
199,114,74,8
189,171,90,8
198,169,79,8
202,163,65,8
206,158,84,8
206,139,71,8
198,165,94,8
226,151,73,8
205,135,102,8
189,138,106,8
188,115,73,8
183,134,101,8
207,128,75,8
199,170,57,8
205,168,66,8
202,126,68,8
203,133,64,8
212,163,98,8
218,159,95,8
221,158,105,8
209,159,18,8
218,153,92,8
202,136,95,8
188,115,76,8
215,160,39,8
206,164,57,8
197,137,73,8
207,156,44,8
215,157,60,8
206,169,99,8
207,173,106,8
197,157,101,8
192,166,50,8
186,162,20,8
196,105,70,8
193,104,71,8
200,108,72,8
192,163,76,8
221,151,24,8
222,147,92,8
212,158,42,8
212,144,61,8
206,160,63,8
196,130,57,8
211,163,63,8
213,165,103,8
230,157,79,8
201,147,79,8
206,148,84,8
206,143,80,8
197,108,70,8
215,156,13,8
216,145,85,8
201,156,32,8
212,151,17,8
191,161,64,8
194,157,74,8
187,150,105,8
176,127,80,8
203,172,97,8
220,168,85,8
227,181,131,8
196,144,116,8
183,163,74,8
192,129,56,8
207,168,85,8
215,155,51,8
206,157,26,8
207,160,26,8
195,169,96,8
186,140,65,8
211,152,27,8
189,89,62,8
205,166,103,8
197,162,102,8
209,159,105,8
216,147,84,8
199,156,104,8
203,165,56,8
209,168,64,8
220,157,30,8
202,155,9,8
186,166,45,8
211,164,37,8
187,151,80,8
190,162,67,8
186,169,40,8
209,157,99,8
188,168,31,8
175,154,92,8
195,166,31,8
219,139,79,8
212,125,64,8
197,104,74,8
211,167,51,8
200,167,73,8
206,165,65,8
212,166,61,8
206,168,65,8
205,150,102,8
204,157,7,8
202,159,6,8
197,160,9,8
179,166,50,8
202,165,75,8
222,155,18,8
201,159,69,8
204,162,79,8
217,157,97,8
218,150,89,8
218,112,69,8
196,123,92,8
182,93,68,8
205,169,69,8
202,160,73,8
195,141,81,8
195,139,67,8
210,169,101,8
210,163,87,8
191,166,88,8
206,160,96,8
201,153,97,8
214,160,48,8
216,163,102,8
208,159,79,8
187,154,114,8
191,146,109,8
187,150,97,8
199,168,78,8
194,150,85,8
221,158,56,8
217,150,47,8
221,146,81,8
216,154,43,8
220,141,80,8
224,153,97,8
217,145,90,8
208,165,39,8
206,167,57,8
202,153,80,8
210,167,70,8
195,154,90,8
186,139,108,8
205,159,84,8
200,125,80,8
194,121,54,8
198,168,85,8
215,153,49,8
219,158,102,8
208,167,111,8
205,161,108,8
205,167,99,8
209,164,69,8
210,128,49,8
210,154,91,8
195,134,95,8
208,135,52,8
194,142,112,8
193,130,88,8
192,129,86,8
177,112,56,8
202,166,91,8
190,167,96,8
205,163,94,8
193,166,73,8
219,134,60,8
220,158,66,8
208,153,69,8
210,161,79,8
213,127,60,8
215,110,68,8
205,113,73,8
192,95,67,8
196,101,75,8
204,123,66,8
207,143,61,8
203,160,53,8
208,158,78,8
200,156,74,8
208,161,55,8
209,155,54,8
200,161,80,8
218,155,106,8
205,148,113,8
201,144,111,8
217,149,87,8
209,139,55,8
189,132,61,8
218,167,115,8
197,156,19,8
198,167,92,8
193,128,86,8
217,145,43,8
205,144,63,8
218,147,50,8
184,142,84,8
191,147,69,8
202,152,67,8
219,140,84,8
